condorcet winner: Liz Wielinski,Bernie Kunza,John Malone,Liz Wielinski,writeIns
Bernie Kunza,,1701.00,1069.00,2298.00
John Malone,1014.00,,771.00,1852.00
Liz Wielinski,4455.00,4586.00,,4939.00
writeIns,58.00,66.00,53.00,
