condorcet winner: SHENG THAO,CHARLIE MICHELSON,JOSEPH E. SIMMONS,JOSEPH TANIOS,MATT HUMMEL,NAYELI MAXSON,PAM HARRIS,SHENG THAO
CHARLIE MICHELSON,,5362.00,5377.00,5234.00,4708.00,4399.00,4385.00
JOSEPH E. SIMMONS,2830.00,,3104.00,3020.00,2724.00,1925.00,2437.00
JOSEPH TANIOS,2138.00,2397.00,,2280.00,1942.00,1939.00,1840.00
MATT HUMMEL,3337.00,3680.00,3653.00,,3083.00,2611.00,2785.00
NAYELI MAXSON,12701.00,13389.00,13478.00,13393.00,,8423.00,7393.00
PAM HARRIS,15283.00,15717.00,16029.00,15589.00,12176.00,,9960.00
SHENG THAO,14707.00,15529.00,15674.00,15450.00,12635.00,11736.00,
