condorcet winner: LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR.",LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN,writeIns
ALEX MILLER-COLE,,5699.00,5817.00,4642.00,4878.00,4282.00,6380.00
DERRICK MUHAMMAD,7155.00,,6932.00,5761.00,6141.00,6132.00,7801.00
"LARRY LIONEL YOUNG, JR.",5065.00,4661.00,,4037.00,4336.00,4301.00,5599.00
LYNETTE GIBSON-MCELHANEY,11296.00,10504.00,11595.00,,9568.00,9397.00,12621.00
NYEISHA DEWITT,9628.00,8818.00,9826.00,7542.00,,8495.00,10740.00
SEAN SULLIVAN,9841.00,9873.00,10004.00,8030.00,9120.00,,10833.00
writeIns,248.00,251.00,262.00,227.00,237.00,229.00,
