condorcet winner: Barbara A. Johnson,Barbara A. Johnson,Grant Cermak,Marcus Harcus,Troy Parker,writeIns
Barbara A. Johnson,,2071.00,1896.00,1740.00,2200.00
Grant Cermak,722.00,,749.00,623.00,1024.00
Marcus Harcus,887.00,1150.00,,721.00,1341.00
Troy Parker,1252.00,1639.00,1428.00,,1840.00
writeIns,15.00,14.00,17.00,16.00,
