ballotID,rank1,rank2,rank3,duplicates,exhausted,exhausted_by_abstention,exhausted_by_overvote,exhausted_by_rank_limit,exhausted_by_skipvote,first_round_overvote_bool,fully_ranked,modified_fully_ranked,overvote,ranked_multiple_bool,ranked_single_bool,skipped,undervote,irregular_bool
800001,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800002,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800003,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
800004,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800005,"Grant, Benjamin K.","Zager, Samuel Lewis",skipped,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
800006,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800007,"Grant, Benjamin K.","Davis, Laurie J.","Zager, Samuel Lewis",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800008,"Zager, Samuel Lewis",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
800009,"Grant, Benjamin K.",skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
800010,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800011,"Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800012,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
800013,skipped,skipped,skipped,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
800014,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800015,"Grant, Benjamin K.","Zager, Samuel Lewis","Davis, Laurie J.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
800016,"Zager, Samuel Lewis","Grant, Benjamin K.","Davis, Laurie J.",False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
