Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-7 P-08,Lisa Goodman,Janne Flisrand,undervote,1
MINNEAPOLIS W-7 P-07,Janne Flisrand,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Joe Kovacs,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Janne Flisrand,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Teqen Zéa-Aida,Lisa Goodman,Janne Flisrand,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,Teqen Zéa-Aida,Joe Kovacs,1
MINNEAPOLIS W-7 P-01C,Janne Flisrand,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-06,Janne Flisrand,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Joe Kovacs,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Joe Kovacs,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-06,Teqen Zéa-Aida,Lisa Goodman,Janne Flisrand,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,Teqen Zéa-Aida,Janne Flisrand,1
MINNEAPOLIS W-7 P-05,Janne Flisrand,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-07,Lisa Goodman,Janne Flisrand,undervote,1
MINNEAPOLIS W-7 P-08,Joe Kovacs,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-09,Lisa Goodman,Janne Flisrand,undervote,1
MINNEAPOLIS W-7 P-06,Joe Kovacs,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-05,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,Janne Flisrand,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-09,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,Teqen Zéa-Aida,Joe Kovacs,1
MINNEAPOLIS W-7 P-05,Teqen Zéa-Aida,Janne Flisrand,undervote,1
MINNEAPOLIS W-7 P-04D,Janne Flisrand,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-03,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Janne Flisrand,Teqen Zéa-Aida,Joe Kovacs,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Teqen Zéa-Aida,Janne Flisrand,Lisa Goodman,1
MINNEAPOLIS W-7 P-03,Lisa Goodman,Teqen Zéa-Aida,Janne Flisrand,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,Teqen Zéa-Aida,Lisa Goodman,1
MINNEAPOLIS W-7 P-04D,Joe Kovacs,Janne Flisrand,Lisa Goodman,1
MINNEAPOLIS W-7 P-02D,Lisa Goodman,Janne Flisrand,undervote,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Teqen Zéa-Aida,Janne Flisrand,Lisa Goodman,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,Lisa Goodman,Teqen Zéa-Aida,Janne Flisrand,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,Janne Flisrand,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-02D,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Joe Kovacs,Janne Flisrand,Lisa Goodman,1
MINNEAPOLIS W-7 P-05,Lisa Goodman,Joe Kovacs,Janne Flisrand,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Teqen Zéa-Aida,Janne Flisrand,UWI,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-09,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,undervote,undervote,1
MINNEAPOLIS W-7 P-09,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-09,Janne Flisrand,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-01C,Janne Flisrand,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,Teqen Zéa-Aida,Lisa Goodman,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-03,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-09,Janne Flisrand,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Janne Flisrand,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-08,Lisa Goodman,Joe Kovacs,Janne Flisrand,1
MINNEAPOLIS W-7 P-03,Janne Flisrand,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Janne Flisrand,Teqen Zéa-Aida,UWI,1
MINNEAPOLIS W-7 P-09,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Janne Flisrand,Teqen Zéa-Aida,undervote,1
MINNEAPOLIS W-7 P-01C,Lisa Goodman,Teqen Zéa-Aida,Janne Flisrand,1
MINNEAPOLIS W-7 P-06,Lisa Goodman,Joe Kovacs,Janne Flisrand,1
MINNEAPOLIS W-7 P-05,Lisa Goodman,Janne Flisrand,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-03,Lisa Goodman,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,Joe Kovacs,Lisa Goodman,undervote,1
MINNEAPOLIS W-7 P-06,Janne Flisrand,Lisa Goodman,Teqen Zéa-Aida,1
MINNEAPOLIS W-7 P-09,Janne Flisrand,Teqen Zéa-Aida,Lisa Goodman,1
MINNEAPOLIS W-7 P-03,Janne Flisrand,Janne Flisrand,undervote,1
