Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Cathy Spann,Blong Yang,1
MINNEAPOLIS W-5 P-05,Cathy Spann,Jeremiah Ellison,Blong Yang,1
MINNEAPOLIS W-5 P-09,Blong Yang,Blong Yang,Blong Yang,1
MINNEAPOLIS W-5 P-08,Blong Yang,Cathy Spann,Jeremiah Ellison,1
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1
MINNEAPOLIS W-5 P-03,Blong Yang,undervote,undervote,1
MINNEAPOLIS W-5 P-08,Cathy Spann,Jeremiah Ellison,Blong Yang,1
MINNEAPOLIS W-5 P-6C,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Blong Yang,undervote,1
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Blong Yang,Blong Yang,Blong Yang,1
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Blong Yang,undervote,1
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1
MINNEAPOLIS W-5 P-07,Blong Yang,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Blong Yang,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Raeisha (RA) Williams,undervote,undervote,1
MINNEAPOLIS W-5 P-02,Cathy Spann,Blong Yang,Jeremiah Ellison,1
MINNEAPOLIS W-5 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,1
MINNEAPOLIS W-5 P-09,Blong Yang,Jeremiah Ellison,Cathy Spann,1
MINNEAPOLIS W-5 P-09,Blong Yang,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Blong Yang,undervote,undervote,1
