Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-13 P-13,Linea Palmisano,Bob Reuer,undervote,1
MINNEAPOLIS W-13 P-11,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-07,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-13,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-05,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-09,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-05,Linea Palmisano,Bob Reuer,undervote,1
MINNEAPOLIS W-13 P-09,Linea Palmisano,Bob Reuer,undervote,1
MINNEAPOLIS W-13 P-11,Bob Reuer,undervote,undervote,1
MINNEAPOLIS W-13 P-03,Linea Palmisano,Bob Reuer,undervote,1
MINNEAPOLIS W-13 P-08,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-04,Linea Palmisano,Bob Reuer,undervote,1
MINNEAPOLIS W-13 P-10,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-13,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-11,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-06,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-06,Linea Palmisano,Bob Reuer,UWI,1
MINNEAPOLIS W-13 P-10,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-11,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-07,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-01,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-01,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-05,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-12,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-06,Linea Palmisano,undervote,undervote,1
MINNEAPOLIS W-13 P-11,Linea Palmisano,undervote,undervote,1
