,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
AARON PESKIN,12703.00,16277.00,18113.00,20644.00,5288.00
DANNY SAUTER,8164.00,15330.00,17644.00,18588.00,7344.00
SPENCER SIMONSEN,1166.00,5729.00,12265.00,15018.00,10914.00
STEPHEN (LULU) SCHWARTZ,1106.00,3332.00,7502.00,13759.00,12173.00
writeIns,22.00,58.00,89.00,152.00,25780.00
