,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
DANIEL LANDRY,1796.00,9193.00,21005.00,23228.00,13685.00
DEAN PRESTON,17372.00,23228.00,25757.00,28576.00,8337.00
NOMVULA O'MEARA,839.00,7137.00,12940.00,21011.00,15902.00
VALLIE BROWN,13596.00,20669.00,22908.00,26461.00,10452.00
writeIns,20.00,68.00,109.00,190.00,36723.00
