,Rank 1,Rank 2,Rank 3,Did Not Rank
AHSHA SAFAI,45.98,71.90,82.00,18.00
JASON CHUYUAN ZENG,0.05,0.05,0.07,99.93
JOHN AVALOS,38.46,67.31,79.19,20.81
MARCELO COLUSSI,7.90,27.29,66.85,33.15
writeIns,0.10,0.19,0.44,99.56
