,Rank 1,Rank 2,Rank 3,Did Not Rank
BUD RYERSON,38.00,40.00,40.00,28517.00
HILLARY RONEN,23058.00,23085.00,23085.00,5472.00
writeIns,101.00,181.00,181.00,28376.00
