,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
AARON PESKIN,48.99,62.77,69.85,79.61,20.39
DANNY SAUTER,31.48,59.12,68.04,71.68,28.32
SPENCER SIMONSEN,4.50,22.09,47.30,57.91,42.09
STEPHEN (LULU) SCHWARTZ,4.27,12.85,28.93,53.06,46.94
writeIns,0.08,0.22,0.34,0.59,99.41
