Ballots with first choice:,Number of Ballots,"% of votes to Crafts, Dale John","% of votes to Bennett, Adrienne",% of votes to exhaust,percent_sum
"Bennett, Adrienne",13468.0,0.0,100.0,0.0,100.0
"Brakey, Eric L.",9542.0,37.21,28.7,34.08,99.99999999999999
"Crafts, Dale John",19337.0,100.0,0.0,0.0,100.0
