Ballots with first choice:,Number of Ballots,"% of votes to Grant, Benjamin K.","% of votes to Zager, Samuel Lewis",% of votes to exhaust,percent_sum
"Davis, Laurie J.",368.0,42.12,42.93,14.95,100.0
"Grant, Benjamin K.",912.0,100.0,0.0,0.0,100.0
"Zager, Samuel Lewis",1239.0,0.0,100.0,0.0,100.0
