Ballots with first choice:,Number of Ballots,"% of votes to Stanicki, Robyn M.","% of votes to Curry, Glenn Chip",% of votes to exhaust,percent_sum
"Curry, Glenn Chip",1858.0,0.0,100.0,0.0,100.0
"Pattavina, Charles F.",1030.0,41.84,37.48,20.68,100.0
"Stanicki, Robyn M.",1280.0,100.0,0.0,0.0,100.0
