,Elizabeth Warren,Kamala Harris,Karen Bass,Stacey Abrams,Susan Rice,Tammy Duckworth,Val Demings
first_choice,26.75,31.85,3.28,8.90,16.66,8.66,3.91
Elizabeth Warren,,46.81,7.18,31.08,15.56,45.51,26.52
Kamala Harris,49.46,,32.37,33.61,47.22,10.69,17.53
Karen Bass,4.19,4.30,,3.77,4.74,8.01,8.80
Stacey Abrams,14.49,13.35,9.77,,12.51,13.37,16.15
Susan Rice,16.31,20.82,36.26,18.59,,11.65,20.60
Tammy Duckworth,11.14,10.74,6.96,7.44,12.94,,10.40
Val Demings,4.41,3.97,7.46,5.52,7.03,10.79,
