,Elizabeth Warren,Kamala Harris,Karen Bass,Stacey Abrams,Susan Rice,Tammy Duckworth,Val Demings
first_choice,288.00,342.91,35.34,95.82,179.34,93.26,42.11
Elizabeth Warren,,145.44,2.33,28.00,23.88,38.00,9.43
Kamala Harris,114.73,,10.49,30.28,72.48,8.93,6.23
Karen Bass,9.73,13.36,,3.39,7.28,6.69,3.13
Stacey Abrams,33.60,41.48,3.17,,19.19,11.16,5.74
Susan Rice,37.82,64.68,11.75,16.75,,9.73,7.33
Tammy Duckworth,25.85,33.38,2.26,6.70,19.85,,3.70
Val Demings,10.23,12.34,2.42,4.97,10.79,9.01,
exhaust,56.03,32.21,2.93,5.72,25.86,9.74,6.55
