,Elizabeth Warren,Kamala Harris,Karen Bass,Stacey Abrams,Susan Rice,Tammy Duckworth,Val Demings
first_choice,26.75,31.85,3.28,8.90,16.66,8.66,3.91
Elizabeth Warren,,42.42,6.59,29.22,13.32,40.75,22.40
Kamala Harris,39.84,,29.69,31.60,40.41,9.57,14.80
Karen Bass,3.38,3.90,,3.54,4.06,7.17,7.43
Stacey Abrams,11.67,12.10,8.96,,10.70,11.97,13.64
Susan Rice,13.13,18.86,33.26,17.48,,10.43,17.40
Tammy Duckworth,8.98,9.73,6.39,6.99,11.07,,8.79
Val Demings,3.55,3.60,6.84,5.19,6.02,9.66,
exhaust,19.45,9.39,8.29,5.97,14.42,10.45,15.56
