Ballots with first choice:,Number of Ballots,Bob Sullentrop ranked in top 3,Charlie Casserly ranked in top 3,Devin Hogan ranked in top 3,Jonathan Honerbrink ranked in top 3,Latrisha Vetaw ranked in top 3,Londel French ranked in top 3,Meg Forney ranked in top 3,Mike Derus ranked in top 3,Russ Henry ranked in top 3,Scott Vreeland ranked in top 3,writeIns ranked in top 3
Bob Sullentrop,1657,1657,289,141,447,184,118,331,419,303,0,14
Charlie Casserly,3752,415,3752,455,418,445,341,1174,1180,438,0,28
Devin Hogan,6239,290,326,6239,347,2125,2603,1140,668,2274,1,21
Jonathan Honerbrink,2613,534,321,273,2613,401,251,607,638,380,0,34
Latrisha Vetaw,18510,317,739,3771,691,18510,7329,8213,3029,3280,1,113
Londel French,12399,249,348,4763,378,4478,12399,2426,1164,4857,2,60
Meg Forney,19002,745,1745,1963,1072,7346,2958,19002,5922,2151,1,75
Mike Derus,10670,650,1373,1197,917,2620,1136,4441,10670,1447,0,52
Russ Henry,9053,277,432,3380,382,2829,3889,1913,1228,9053,0,46
Scott Vreeland,3,0,2,0,1,0,0,3,0,0,3,0
writeIns,390,7,6,5,4,15,7,24,9,12,0,390
