raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2_tab1,"Crafts, Dale John",2.0,,23665.0,28019.0
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2_tab1,"Bennett, Adrienne",,2.0,16920.0,20295.0
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2_tab1,"Brakey, Eric L.",,1.0,11976.0,0.0
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11_tab1,"Curry, Glenn Chip",2.0,,2294.0,2807.0
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11_tab1,"Stanicki, Robyn M.",,2.0,1669.0,2212.0
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11_tab1,"Pattavina, Charles F.",,1.0,1316.0,0.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41_tab1,"Zager, Samuel Lewis",2.0,,1239.0,1397.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41_tab1,"Grant, Benjamin K.",,2.0,912.0,1067.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41_tab1,"Davis, Laurie J.",,1.0,368.0,0.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47_tab1,"Bell, Arthur L.",2.0,,978.0,1274.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47_tab1,"Abbott, Heather",,2.0,892.0,1139.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47_tab1,"Fromuth, Peter J.",,1.0,623.0,0.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49_tab1,"Arford, Poppy",2.0,,899.0,1189.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49_tab1,"Wilson, Katherine E.",,2.0,657.0,886.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49_tab1,"Perreault, Corinne Ann",,1.0,613.0,0.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90_tab1,"Crafts, Lydia V.",2.0,,1010.0,1143.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90_tab1,"Pieh, Wendy",,2.0,741.0,838.0
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90_tab1,"Levesque, David J.",,1.0,273.0,0.0
