C:\Cambridge\Election2013\School\Tuesday\School Transfer Report


*** COUNT 2 ***

   000403-00-0033:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000403-00-0076:  Nolan, Patricia M. --> Kadete, Elechi M.
   000403-00-0121:  Nolan, Patricia M. --> Osborne, Mervan F.
   000403-00-0207:  Nolan, Patricia M. --> Osborne, Mervan F.
   000403-00-0303:  Nolan, Patricia M. --> Gerber, Joyce C.
   000403-00-0324:  Nolan, Patricia M. --> Osborne, Mervan F.
   000403-00-0332:  Nolan, Patricia M. --> Holland, John J.
   000403-00-0359:  Nolan, Patricia M. --> Osborne, Mervan F.
   000203-00-0011:  Nolan, Patricia M. --> Gerber, Joyce C.
   000203-00-0020:  Nolan, Patricia M. --> Osborne, Mervan F.
   000203-00-0030:  Nolan, Patricia M. --> Cronin, Fran Albin
   000203-00-0065:  Nolan, Patricia M. --> Gerber, Joyce C.
   000203-00-0111:  Nolan, Patricia M. --> Osborne, Mervan F.
   000203-00-0127:  Nolan, Patricia M. --> Holland, John J.
   000203-00-0155:  Nolan, Patricia M. --> Osborne, Mervan F.
   000203-00-0191:  Nolan, Patricia M. --> Cronin, Fran Albin
   000203-00-0228:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0060:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-0109:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0129:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0175:  Nolan, Patricia M. --> Kadete, Elechi M.
   000502-00-0187:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0245:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-0285:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0303:  Nolan, Patricia M. --> Gerber, Joyce C.
   000502-00-0335:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-0448:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-0477:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-0517:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0561:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-0577:  Nolan, Patricia M. --> Gerber, Joyce C.
   000502-00-0618:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0650:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0669:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-0729:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-0794:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0813:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0843:  Nolan, Patricia M. --> Gerber, Joyce C.
   000502-00-0886:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0907:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-0936:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-0969:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-1014:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-1043:  Nolan, Patricia M. --> Kelly, Kathleen M.
   000502-00-1090:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-1185:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-1208:  Nolan, Patricia M. --> Cronin, Fran Albin
   000502-00-1223:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-1256:  Nolan, Patricia M. --> Osborne, Mervan F.
   000502-00-1265:  Nolan, Patricia M. --> Cronin, Fran Albin
