Ballots with first choice:,Number of Ballots,"% of votes to Fantini, Alfred B.","% of votes to Kelly, Kathleen M.","% of votes to Kimbrough, Laurance V.","% of votes to Dexter, Emily R.","% of votes to Nolan, Patricia M.","% of votes to Bowman, Manikka L.",% of votes to exhaust,percent_sum
"Bowman, Manikka L.",2768.0,0.18,0.65,0.61,1.19,0.0,97.15,0.22,100.0
"Cronin, Fran A.",1571.0,0.0,35.71,17.95,0.0,0.0,0.0,46.34,100.0
"Crutchfield, Jake W.",1038.0,0.0,23.12,19.94,0.0,0.0,0.0,56.94,100.0
"Dexter, Emily R.",2376.0,0.0,2.48,1.22,94.82,0.0,0.0,1.47,100.0
"Fantini, Alfred B.",2728.0,98.57,0.81,0.29,0.0,0.0,0.0,0.33,100.0
"Kadete, Elechi M.",845.0,9.82,14.56,20.12,15.38,0.0,0.0,40.12,100.0
"Kelly, Kathleen M.",1880.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Kimbrough, Laurance V.",1855.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"MacArthur, William",795.0,5.53,14.47,17.99,17.74,0.0,11.07,33.21,100.0
"Mitros, Piotr Flawiusz",511.0,4.7,12.72,14.87,23.87,0.0,13.31,30.53,99.99999999999999
"Nolan, Patricia M.",3457.0,1.48,3.59,1.04,3.18,85.57,3.12,2.02,100.0
"Weinstein, David J.",797.0,7.53,17.94,14.18,20.7,0.0,0.0,39.65,100.0
writeIns,78.0,2.56,1.28,3.85,5.13,0.0,6.41,80.77,99.99999999999999
