Ballots with first choice:,Number of Ballots,"% of votes to Murphy, Brian","% of votes to Decker, Marjorie C.","% of votes to Davis, Henrietta","% of votes to Kelley, Craig A.","% of votes to Sullivan, Michael A.","% of votes to Toomey, Timothy J., Jr.","% of votes to Reeves, Kenneth E.","% of votes to Simmons, Denise","% of votes to Galluccio, Anthony D.",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",242.0,2.89,9.09,8.68,16.12,0.0,4.55,23.55,19.83,0.0,15.29,100.0
"Condit, James E., III",41.0,2.44,9.76,12.2,12.2,9.76,2.44,2.44,7.32,0.0,41.46,100.0
"Davis, Henrietta",1457.0,0.48,0.0,97.32,0.34,0.0,0.14,0.48,0.89,0.0,0.34,100.00000000000001
"Decker, Marjorie C.",1524.0,0.0,99.87,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,100.0
"Galluccio, Anthony D.",1997.0,1.25,1.85,1.15,1.15,6.01,3.36,2.1,1.1,80.37,1.65,100.00000000000001
"Gordon, Jesse A.",625.0,14.08,0.0,16.32,20.64,0.0,2.56,17.28,11.04,0.0,18.08,99.99999999999999
"Green, Andre Lerone",181.0,6.08,2.21,3.87,21.55,5.52,10.5,6.08,9.39,0.0,34.81,100.0
"Hall, Robert Lee, Sr.",74.0,2.7,4.05,6.76,25.68,5.41,1.35,17.57,9.46,0.0,27.03,100.0
"Hees, Bill",197.0,7.61,2.54,5.08,30.46,0.0,10.66,3.05,4.06,0.0,36.55,100.0
"Kelley, Craig A.",1041.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"LaTremouille, Robert J.",118.0,7.63,5.08,11.02,23.73,7.63,1.69,11.86,8.47,0.0,22.88,99.99999999999999
"Maher, David P.",900.0,18.78,0.0,0.0,8.33,0.0,27.78,9.67,8.0,0.0,27.44,100.0
"Murphy, Brian",1236.0,98.62,0.0,0.0,0.49,0.0,0.0,0.57,0.0,0.0,0.32,100.0
"Reeves, Kenneth E.",1205.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
"Seidel, Sam",973.0,0.0,0.0,0.0,49.54,0.0,0.0,17.06,0.0,0.0,33.4,99.99999999999999
"Simmons, Denise",1327.0,0.0,0.0,0.0,0.75,0.0,0.0,2.86,96.01,0.0,0.38,99.99999999999999
"Sullivan, Michael A.",1462.0,0.14,0.0,0.0,0.07,99.73,0.0,0.07,0.0,0.0,0.0,99.99999999999999
"Toomey, Timothy J., Jr.",1431.0,3.28,0.0,0.0,2.17,0.0,84.91,4.68,4.33,0.0,0.63,100.0
writeIns,15.0,20.0,13.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,60.0,100.0
