Ballots with first choice:,Number of Ballots,"% of votes to Grassi, Joseph G.","% of votes to Fantini, Alfred B.","% of votes to Harding, Richard, Jr.","% of votes to Walser, Nancy","% of votes to Nolan, Patricia M.","% of votes to Schuster, Luc",% of votes to exhaust,percent_sum
"Fantini, Alfred B.",2278.0,2.19,96.93,0.31,0.31,0.0,0.13,0.13,100.0
"Grassi, Joseph G.",1990.0,99.95,0.0,0.0,0.0,0.0,0.0,0.05,100.0
"Harding, Richard, Jr.",1979.0,0.15,0.0,99.55,0.0,0.0,0.25,0.05,99.99999999999999
"Lummis, Ben",1512.0,0.0,0.0,0.0,0.0,0.0,40.54,59.46,100.0
"McGovern, Marc C.",1411.0,7.51,0.0,14.88,23.6,0.0,25.02,28.99,100.0
"Nolan, Patricia M.",2385.0,0.59,0.0,0.59,2.05,92.58,3.23,0.96,99.99999999999999
"Schuster, Luc",1842.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Walser, Nancy",2001.0,2.2,0.0,0.0,90.65,0.0,3.45,3.7,99.99999999999999
writeIns,55.0,3.64,0.0,12.73,9.09,0.0,1.82,72.73,99.99999999999999
