Ballots with first choice:,Number of Ballots,"% of votes to Fantini, Alfred B.","% of votes to Harding, Richard, Jr.","% of votes to Walser, Nancy","% of votes to Lummis, Ben","% of votes to McGovern, Marc C.","% of votes to Price, Alan C.","% of votes to Grassi, Joseph G.",% of votes to exhaust,percent_sum
"Craig, Christopher",556.0,0.0,0.0,0.0,0.0,0.0,23.56,22.48,53.96,100.0
"Fantini, Alfred B.",2884.0,91.96,1.21,0.0,0.87,0.0,0.69,5.1,0.17,99.99999999999999
"Grassi, Joseph G.",2276.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Harding, Richard, Jr.",2344.0,0.0,99.74,0.0,0.0,0.0,0.13,0.13,0.0,99.99999999999997
"Lummis, Ben",2588.0,0.0,0.0,0.0,90.22,0.0,5.87,2.28,1.62,100.00000000000001
"McGovern, Marc C.",2702.0,0.0,0.26,0.0,0.59,98.15,0.48,0.3,0.22,100.0
"Price, Alan C.",1293.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
"Walser, Nancy",3823.0,0.0,7.11,69.37,7.22,0.0,9.86,4.79,1.65,99.99999999999999
writeIns,97.0,0.0,0.0,0.0,0.0,0.0,12.37,5.15,82.47,99.99999999999999
