Ballots with first choice:,Number of Ballots,"% of votes to Carlone, Dennis J.","% of votes to McGovern, Marc C.","% of votes to Simmons, E. Denise","% of votes to Mallon, Alanna M.","% of votes to Toomey, Jr., Timothy J.","% of votes to Siddiqui, Sumbul","% of votes to Nolan, Patricia M.","% of votes to Zondervan, Quinton Y.","% of votes to Sobrinho-Wheeler, Jivan",% of votes to exhaust,percent_sum
"Akiba, Sukia",360.0,7.22,7.22,0.0,21.94,6.11,0.0,8.06,12.22,16.11,21.11,100.0
"Azeem, Burhan",960.0,2.92,16.04,0.0,29.48,5.31,0.0,0.0,7.6,27.6,11.04,99.99999999999999
"Carlone, Dennis J.",1474.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Franklin, Charles J.",323.0,13.31,10.53,0.0,10.84,6.19,0.0,11.76,18.27,17.03,12.07,100.0
"Kelley, Craig A.",1422.0,51.97,0.0,0.0,0.0,15.47,0.0,0.0,0.0,0.0,32.56,99.99999999999997
"Kopon, Derek Andrew",491.0,29.12,2.85,0.0,4.89,3.46,0.0,27.29,12.22,5.5,14.66,100.0
"Levy, Ilan",109.0,21.1,2.75,3.67,5.5,6.42,0.0,14.68,20.18,6.42,19.27,99.99999999999999
"Mallon, Alanna M.",1254.0,0.32,0.0,0.0,98.56,0.56,0.0,0.0,0.0,0.48,0.08,99.99999999999999
"McGovern, Marc C.",1618.0,0.56,97.16,0.0,0.0,1.24,0.0,0.0,0.0,0.68,0.37,99.99999999999999
"McNary, Jeffery",77.0,9.09,11.69,9.09,5.19,9.09,0.0,14.29,18.18,10.39,12.99,99.99999999999999
"Mednick, Risa",242.0,16.94,9.92,7.85,17.36,2.07,0.0,13.22,12.4,10.74,9.5,99.99999999999999
"Moree, Gregg J.",46.0,4.35,4.35,8.7,6.52,21.74,0.0,17.39,2.17,4.35,30.43,100.0
"Musgrave, Adriane",724.0,5.52,20.3,0.0,28.59,5.25,0.0,6.63,7.32,15.47,10.91,99.99999999999999
"Nolan, Patricia M.",1685.0,0.47,0.0,0.0,0.06,0.0,0.0,99.35,0.06,0.0,0.06,100.0
"Pitkin, John",536.0,27.24,5.78,0.0,4.85,8.02,0.0,15.49,19.4,4.48,14.74,99.99999999999999
"Siddiqui, Sumbul",2515.0,0.68,1.83,2.58,4.02,1.11,84.33,0.72,1.79,1.99,0.95,99.99999999999999
"Simmons, E. Denise",2006.0,0.0,0.05,99.7,0.05,0.05,0.0,0.05,0.05,0.0,0.05,100.00000000000001
"Simon, Ben",294.0,10.2,5.44,7.14,4.42,5.78,0.0,8.5,17.69,26.87,13.95,100.0
"Sobrinho-Wheeler, Jivan",1319.0,1.14,0.0,0.0,0.0,0.53,0.0,0.0,0.0,98.18,0.15,99.99999999999999
"Toomey, Jr., Timothy J.",1727.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Williams, Nicola A.",630.0,17.3,6.51,0.0,9.37,4.13,0.0,0.0,36.03,13.17,13.49,100.0
"Zondervan, Quinton Y.",1380.0,2.1,0.0,0.0,0.0,0.07,0.0,0.0,96.74,0.87,0.22,100.0
writeIns,17.0,0.0,5.88,5.88,5.88,17.65,0.0,23.53,0.0,5.88,35.29,99.99999999999997
