Ballots with first choice:,Number of Ballots,"% of votes to Schuster, Luc","% of votes to Fantini, Alfred B.","% of votes to McGovern, Marc C.","% of votes to Tauber, Nancy","% of votes to Nolan, Patricia M.","% of votes to Grassi, Joseph G.",% of votes to exhaust,percent_sum
"Fantini, Alfred B.",2013.0,0.3,94.14,0.0,0.4,0.6,4.32,0.25,99.99999999999999
"Grassi, Joseph G.",1625.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
"Harding, Richard, Jr.",1561.0,0.0,0.0,0.0,17.3,0.0,35.17,47.53,99.99999999999999
"Lemily Wiggins, Gail",1024.0,15.14,0.0,0.0,39.84,15.14,9.67,20.21,100.0
"Malner, Stefan",133.0,12.03,0.0,0.0,33.83,16.54,10.53,27.07,99.99999999999999
"McGovern, Marc C.",2275.0,3.52,0.0,83.3,3.21,6.33,2.2,1.45,100.0
"Nolan, Patricia M.",1672.0,0.0,0.0,0.0,3.29,93.3,2.45,0.96,99.99999999999999
"Schuster, Luc",1675.0,97.73,0.0,0.0,1.31,0.0,0.6,0.36,99.99999999999999
"Tauber, Nancy",1245.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
writeIns,36.0,2.78,0.0,0.0,11.11,5.56,11.11,69.44,100.0
