C:\Cambridge\Election2011\School\Tuesday\School Ballot Allocation Report


000803-00-0001: Turkel, Alice L.
000803-00-0003: Turkel, Alice L.
000803-00-0006: EXHAUSTED PILE
000803-00-0007: Harding, Jr., Richard
000803-00-0010: EXHAUSTED PILE
000803-00-0011: Osborne, Mervan F.
000803-00-0014: Nolan, Patricia M.
000803-00-0015: Harding, Jr., Richard
000803-00-0017: Harding, Jr., Richard
000803-00-0020: Osborne, Mervan F.
000803-00-0021: EXHAUSTED PILE
000803-00-0024: Fantini, Alfred B.
000803-00-0026: Turkel, Alice L.
000803-00-0028: Turkel, Alice L.
000803-00-0030: EXHAUSTED PILE
000803-00-0031: Osborne, Mervan F.
000803-00-0033: Osborne, Mervan F.
000803-00-0036: Osborne, Mervan F.
000803-00-0037: Nolan, Patricia M.
000803-00-0040: Turkel, Alice L.
000803-00-0042: Osborne, Mervan F.
000803-00-0043: Harding, Jr., Richard
000803-00-0046: EXHAUSTED PILE
000803-00-0048: Osborne, Mervan F.
000803-00-0050: McGovern, Marc C.
000803-00-0052: Turkel, Alice L.
000803-00-0053: McGovern, Marc C.
000803-00-0055: Nolan, Patricia M.
000803-00-0058: Turkel, Alice L.
000803-00-0060: Osborne, Mervan F.
000803-00-0062: EXHAUSTED PILE
000803-00-0063: Osborne, Mervan F.
000803-00-0065: Nolan, Patricia M.
000803-00-0068: Nolan, Patricia M.
000803-00-0069: Osborne, Mervan F.
000803-00-0072: Nolan, Patricia M.
000803-00-0073: EXHAUSTED PILE
000803-00-0075: Turkel, Alice L.
000803-00-0078: Turkel, Alice L.
000803-00-0080: Osborne, Mervan F.
000803-00-0081: Fantini, Alfred B.
000803-00-0083: McGovern, Marc C.
000803-00-0086: Turkel, Alice L.
000803-00-0087: McGovern, Marc C.
000803-00-0090: Osborne, Mervan F.
000803-00-0092: McGovern, Marc C.
000803-00-0094: Osborne, Mervan F.
000803-00-0096: Osborne, Mervan F.
000803-00-0097: Osborne, Mervan F.
000803-00-0099: Turkel, Alice L.
000803-00-0102: Turkel, Alice L.
000803-00-0104: EXHAUSTED PILE
000803-00-0105: Turkel, Alice L.
000803-00-0108: Osborne, Mervan F.
000803-00-0109: Turkel, Alice L.
000803-00-0111: Harding, Jr., Richard
000803-00-0115: Nolan, Patricia M.
000803-00-0117: Nolan, Patricia M.
000803-00-0118: Fantini, Alfred B.
000803-00-0121: Nolan, Patricia M.
000803-00-0123: Nolan, Patricia M.
000803-00-0126: Turkel, Alice L.
000803-00-0127: Turkel, Alice L.
000803-00-0130: Harding, Jr., Richard
000101-00-0003: McGovern, Marc C.
000101-00-0004: Nolan, Patricia M.
000101-00-0008: McGovern, Marc C.
000101-00-0009: Osborne, Mervan F.
000101-00-0010: Fantini, Alfred B.
000101-00-0013: Fantini, Alfred B.
000101-00-0015: McGovern, Marc C.
000101-00-0018: Nolan, Patricia M.
000101-00-0020: Fantini, Alfred B.
000101-00-0022: Osborne, Mervan F.
000101-00-0024: McGovern, Marc C.
000101-00-0026: McGovern, Marc C.
000101-00-0029: Osborne, Mervan F.
000101-00-0030: Fantini, Alfred B.
000101-00-0031: Fantini, Alfred B.
000101-00-0032: EXHAUSTED PILE
