Description,Id,VotingLocationNumber,VotingLocationName,ExternalId,Type,ThresholdMin,ThresholdMax,WriteThresholdMin,WriteThresholdMax
VCC 1-1,1,1,Montezuma Lodge,,ImagecastEvolution,12,35,12,35
VCC 1-2,2,1,Montezuma Lodge,,ImagecastEvolution,12,35,12,35
VCC 1-3,3,1,Montezuma Lodge,,ImagecastEvolution,12,35,12,35
VCC 2-1,4,2,Gonzales Community School,,ImagecastEvolution,12,35,12,35
VCC 2-2,5,2,Gonzales Community School,,ImagecastEvolution,12,35,12,35
VCC 2-3,6,2,Gonzales Community School,,ImagecastEvolution,12,35,12,35
VCC 3-1,7,3,Salazar Elementary School,,ImagecastEvolution,12,35,12,35
VCC 3-2,8,3,Salazar Elementary School,,ImagecastEvolution,12,35,12,35
VCC 3-3,9,3,Salazar Elementary School,,ImagecastEvolution,12,35,12,35
VCC 4-1,10,4,Atalaya Elementary School,,ImagecastEvolution,12,35,12,35
VCC 4-2,11,4,Atalaya Elementary School,,ImagecastEvolution,12,35,12,35
VCC 4-3,12,4,Atalaya Elementary School,,ImagecastEvolution,12,35,12,35
VCC 5-1,13,5,St Johns UMC,,ImagecastEvolution,12,35,12,35
VCC 5-2,14,5,St Johns UMC,,ImagecastEvolution,12,35,12,35
VCC 5-3,15,5,St Johns UMC,,ImagecastEvolution,12,35,12,35
VCC 6-1,16,6,Christian Life Church,,ImagecastEvolution,12,35,12,35
VCC 6-2,17,6,Christian Life Church,,ImagecastEvolution,12,35,12,35
VCC 6-3,18,6,Christian Life Church,,ImagecastEvolution,12,35,12,35
VCC 7-1,19,7,Nina Otero Community School,,ImagecastEvolution,12,35,12,35
VCC 7-2,20,7,Nina Otero Community School,,ImagecastEvolution,12,35,12,35
VCC 7-3,21,7,Nina Otero Community School,,ImagecastEvolution,12,35,12,35
VCC 8-1,22,8,Sweeney Elementary School,,ImagecastEvolution,12,35,12,35
VCC 8-2,23,8,Sweeney Elementary School,,ImagecastEvolution,12,35,12,35
VCC 8-3,24,8,Sweeney Elementary School,,ImagecastEvolution,12,35,12,35
VCC 9-1,25,9,Southside Library,,ImagecastEvolution,12,35,12,35
VCC 9-2,26,9,Southside Library,,ImagecastEvolution,12,35,12,35
VCC 9-3,27,9,Southside Library,,ImagecastEvolution,12,35,12,35
VCC 10-1,28,10,Nava Elementary School,,ImagecastEvolution,12,35,12,35
VCC 10-2,29,10,Nava Elementary School,,ImagecastEvolution,12,35,12,35
VCC 10-3,30,10,Nava Elementary School,,ImagecastEvolution,12,35,12,35
VCC 11-1,31,11,Kearny Elementary School,,ImagecastEvolution,12,35,12,35
VCC 11-2,32,11,Kearny Elementary School,,ImagecastEvolution,12,35,12,35
VCC 11-3,33,11,Kearny Elementary School,,ImagecastEvolution,12,35,12,35
VCC 12-1,34,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
VCC 12-2,35,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
VCC 12-3,36,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
Early Voting 1-1,37,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
Early Voting 1-2,38,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
Early Voting 1-3,39,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
Early Voting 2-1,40,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
Early Voting 2-2,41,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
Early Voting 2-3,42,12,Genoveva Chavez Community Center,,ImagecastEvolution,12,35,12,35
Absentee 1-1,43,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
Absentee 1-2,44,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
In Person ABS 1,45,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
In Person ABS 2,46,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
District 1 Spare 1,47,14,District 1,,ImagecastEvolution,12,35,12,35
District 1 Spare 2,48,14,District 1,,ImagecastEvolution,12,35,12,35
District 2 Spare 1,49,15,District 2,,ImagecastEvolution,12,35,12,35
District 2 Spare 2,50,15,District 2,,ImagecastEvolution,12,35,12,35
District 3 Spare 1,51,16,District 3,,ImagecastEvolution,12,35,12,35
District 3 Spare 2,52,16,District 3,,ImagecastEvolution,12,35,12,35
District 4 Spare 1,53,17,District 4,,ImagecastEvolution,12,35,12,35
District 4 Spare 2,54,17,District 4,,ImagecastEvolution,12,35,12,35
In Person ABS 3,55,13,City Clerk Office,,ImagecastEvolution,12,35,12,35
