Description,Id,DistrictTypeId,ExternalId
Santa Fe,1,1830ac29-eba5-466f-bffc-28954b8faf89,
City Council District 1,2,87b68dcf-9b81-4241-be75-1cc1395e3010,
City Council District 2,3,87b68dcf-9b81-4241-be75-1cc1395e3010,
City Council District 3,4,87b68dcf-9b81-4241-be75-1cc1395e3010,
City Council District 4,5,87b68dcf-9b81-4241-be75-1cc1395e3010,
