,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,93.00,340.00,10777.00,11.00,1689.00,19593.00,460.00,311.00,34.00,1377.00,291.00
Amy Klobuchar,,9.00,46.00,1.00,110.00,683.00,14.00,39.00,1.00,21.00,0.00
Andrew Yang,5.00,,405.00,2.00,50.00,220.00,16.00,22.00,4.00,74.00,2.00
Bernie Sanders,5.00,89.00,,2.00,755.00,4474.00,52.00,34.00,7.00,393.00,15.00
Deval Patrick,2.00,3.00,3.00,,1.00,12.00,0.00,1.00,0.00,4.00,0.00
Elizabeth Warren,24.00,59.00,2486.00,1.00,,1882.00,25.00,39.00,5.00,62.00,5.00
Joseph R. Biden,25.00,54.00,3228.00,3.00,543.00,,211.00,117.00,7.00,240.00,23.00
Michael R.,2.00,6.00,80.00,0.00,23.00,1008.00,,16.00,7.00,74.00,5.00
Pete Buttigieg,17.00,25.00,130.00,1.00,77.00,786.00,34.00,,0.00,24.00,0.00
Tom Steyer,0.00,7.00,37.00,0.00,13.00,64.00,7.00,2.00,,8.00,0.00
Tulsi Gabbard,6.00,39.00,1081.00,0.00,21.00,434.00,20.00,12.00,0.00,,4.00
Uncommitted,0.00,7.00,236.00,0.00,9.00,252.00,3.00,1.00,1.00,42.00,
exhaust,7.00,42.00,3045.00,1.00,87.00,9778.00,78.00,28.00,2.00,435.00,237.00
