,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,0.27,0.97,30.81,0.03,4.83,56.02,1.32,0.89,0.10,3.94,0.83
Amy Klobuchar,,3.02,0.59,10.00,6.87,6.96,3.66,13.78,3.12,2.23,0.00
Andrew Yang,5.81,,5.24,20.00,3.12,2.24,4.19,7.77,12.50,7.86,3.70
Bernie Sanders,5.81,29.87,,20.00,47.13,45.58,13.61,12.01,21.88,41.72,27.78
Deval Patrick,2.33,1.01,0.04,,0.06,0.12,0.00,0.35,0.00,0.42,0.00
Elizabeth Warren,27.91,19.80,32.15,10.00,,19.17,6.54,13.78,15.62,6.58,9.26
Joseph R. Biden,29.07,18.12,41.75,30.00,33.90,,55.24,41.34,21.88,25.48,42.59
Michael R.,2.33,2.01,1.03,0.00,1.44,10.27,,5.65,21.88,7.86,9.26
Pete Buttigieg,19.77,8.39,1.68,10.00,4.81,8.01,8.90,,0.00,2.55,0.00
Tom Steyer,0.00,2.35,0.48,0.00,0.81,0.65,1.83,0.71,,0.85,0.00
Tulsi Gabbard,6.98,13.09,13.98,0.00,1.31,4.42,5.24,4.24,0.00,,7.41
Uncommitted,0.00,2.35,3.05,0.00,0.56,2.57,0.79,0.35,3.12,4.46,
