,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,59.00,154.00,6723.00,7.00,951.00,11008.00,198.00,158.00,19.00,931.00,185.00
Amy Klobuchar,,6.00,33.00,1.00,72.00,416.00,9.00,24.00,1.00,14.00,0.00
Andrew Yang,4.00,,198.00,1.00,20.00,102.00,10.00,11.00,0.00,44.00,1.00
Bernie Sanders,1.00,40.00,,1.00,415.00,2683.00,23.00,16.00,5.00,264.00,10.00
Deval Patrick,1.00,0.00,2.00,,1.00,10.00,0.00,1.00,0.00,3.00,0.00
Elizabeth Warren,18.00,21.00,1457.00,1.00,,1050.00,10.00,22.00,3.00,48.00,4.00
Joseph R. Biden,13.00,27.00,1997.00,2.00,310.00,,78.00,52.00,5.00,168.00,12.00
Michael R.,1.00,2.00,40.00,0.00,13.00,419.00,,8.00,3.00,39.00,2.00
Pete Buttigieg,11.00,14.00,89.00,1.00,49.00,464.00,17.00,,0.00,18.00,0.00
Tom Steyer,0.00,1.00,26.00,0.00,8.00,42.00,3.00,1.00,,5.00,0.00
Tulsi Gabbard,5.00,23.00,809.00,0.00,15.00,316.00,12.00,7.00,0.00,,2.00
Uncommitted,0.00,5.00,114.00,0.00,7.00,132.00,2.00,1.00,1.00,30.00,
exhaust,5.00,15.00,1958.00,0.00,41.00,5374.00,34.00,15.00,1.00,298.00,154.00
