"condorcet winner: Zager, Samuel Lewis","Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis"
"Davis, Laurie J.",,741.00,617.00
"Grant, Benjamin K.",1591.00,,1067.00
"Zager, Samuel Lewis",1755.00,1397.00,
