,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
DEAN PRESTON,11239.00,15343.00,16204.00,16921.00,7844.00
NOMVULA O'MEARA,278.00,2022.00,4626.00,7121.00,17644.00
RYAN LAM,950.00,3643.00,6882.00,7959.00,16806.00
VALLIE BROWN,11208.00,14952.00,15571.00,16791.00,7974.00
writeIns,0.00,0.00,0.00,3.00,24762.00
