,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
DEAN PRESTON,45.38,61.95,65.43,68.33,31.67
NOMVULA O'MEARA,1.12,8.16,18.68,28.75,71.25
RYAN LAM,3.84,14.71,27.79,32.14,67.86
VALLIE BROWN,45.26,60.38,62.88,67.80,32.20
writeIns,0.00,0.00,0.00,0.01,99.99
