Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,503,1.7176938369781312,2
Adrienne Bennett,150,1.76,2.0
Dale Crafts,237,1.6919831223628692,2
Eric Brakey,116,1.7155172413793103,2.0
