condorcet winner: DEAN PRESTON,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM,VALLIE BROWN,writeIns
DEAN PRESTON,,15786.00,15277.00,11723.00,16921.00
NOMVULA O'MEARA,1673.00,,2768.00,2485.00,7121.00
RYAN LAM,2552.00,5740.00,,3183.00,7959.00
VALLIE BROWN,11538.00,15282.00,14911.00,,16791.00
writeIns,0.00,2.00,0.00,1.00,
