,DANIEL LANDRY,DEAN PRESTON,NOMVULA O'MEARA,VALLIE BROWN,writeIns
first_choice,5.34,51.67,2.50,40.44,0.06
DANIEL LANDRY,,17.91,38.97,29.09,20.00
DEAN PRESTON,25.78,,28.72,37.87,15.00
NOMVULA O'MEARA,22.33,28.31,,7.16,25.00
VALLIE BROWN,41.43,35.14,26.58,,10.00
writeIns,0.28,0.10,0.12,0.18,
exhaust,10.19,18.55,5.60,25.69,30.00
