,DANIEL LANDRY,DEAN PRESTON,NOMVULA O'MEARA,VALLIE BROWN,writeIns
first_choice,1796.00,17372.00,839.00,13596.00,20.00
DANIEL LANDRY,,3111.00,327.00,3955.00,4.00
DEAN PRESTON,463.00,,241.00,5149.00,3.00
NOMVULA O'MEARA,401.00,4918.00,,974.00,5.00
VALLIE BROWN,744.00,6104.00,223.00,,2.00
writeIns,5.00,17.00,1.00,25.00,
exhaust,183.00,3222.00,47.00,3493.00,6.00
