,AHSHA SAFAI,JASON CHUYUAN ZENG,JOHN AVALOS,MARCELO COLUSSI,writeIns
first_choice,49.71,0.05,41.58,8.54,0.11
AHSHA SAFAI,,54.55,72.53,53.53,26.67
JASON CHUYUAN ZENG,0.01,,0.00,0.06,0.00
JOHN AVALOS,70.25,9.09,,46.11,40.00
MARCELO COLUSSI,29.65,36.36,27.37,,33.33
writeIns,0.10,0.00,0.10,0.30,
