,AARON PESKIN,DANNY SAUTER,SPENCER SIMONSEN,STEPHEN (LULU) SCHWARTZ,writeIns
first_choice,54.85,35.25,5.03,4.78,0.09
AARON PESKIN,,45.44,25.61,20.88,21.05
DANNY SAUTER,71.10,,52.53,42.42,31.58
SPENCER SIMONSEN,16.46,40.61,,36.51,21.05
STEPHEN (LULU) SCHWARTZ,12.21,13.77,21.67,,26.32
writeIns,0.23,0.18,0.19,0.19,
