,AARON PESKIN,DANNY SAUTER,SPENCER SIMONSEN,STEPHEN (LULU) SCHWARTZ,writeIns
first_choice,12703.00,8164.00,1166.00,1106.00,22.00
AARON PESKIN,,3078.00,273.00,219.00,4.00
DANNY SAUTER,6155.00,,560.00,445.00,6.00
SPENCER SIMONSEN,1425.00,2751.00,,383.00,4.00
STEPHEN (LULU) SCHWARTZ,1057.00,933.00,231.00,,5.00
writeIns,20.00,12.00,2.00,2.00,
exhaust,4046.00,1390.00,100.00,57.00,3.00
