,BUD RYERSON,HILLARY RONEN,writeIns
first_choice,38.00,23058.00,101.00
BUD RYERSON,,2.00,0.00
HILLARY RONEN,2.00,,25.00
writeIns,0.00,80.00,
exhaust,36.00,22976.00,76.00
