,AHSHA SAFAI,JASON CHUYUAN ZENG,JOHN AVALOS,MARCELO COLUSSI,writeIns
first_choice,11839.00,12.00,9903.00,2035.00,27.00
AHSHA SAFAI,,6.00,5768.00,895.00,4.00
JASON CHUYUAN ZENG,1.00,,0.00,1.00,0.00
JOHN AVALOS,6648.00,1.00,,771.00,6.00
MARCELO COLUSSI,2806.00,4.00,2177.00,,5.00
writeIns,9.00,0.00,8.00,5.00,
exhaust,2375.00,1.00,1950.00,363.00,12.00
