,AARON PESKIN,DANNY SAUTER,SPENCER SIMONSEN,STEPHEN (LULU) SCHWARTZ,writeIns
first_choice,54.85,35.25,5.03,4.78,0.09
AARON PESKIN,,37.70,23.41,19.80,18.18
DANNY SAUTER,48.45,,48.03,40.24,27.27
SPENCER SIMONSEN,11.22,33.70,,34.63,18.18
STEPHEN (LULU) SCHWARTZ,8.32,11.43,19.81,,22.73
writeIns,0.16,0.15,0.17,0.18,
exhaust,31.85,17.03,8.58,5.15,13.64
