,DANIEL LANDRY,DEAN PRESTON,NOMVULA O'MEARA,VALLIE BROWN,writeIns
first_choice,5.34,51.67,2.50,40.44,0.06
DANIEL LANDRY,,21.99,41.29,39.15,28.57
DEAN PRESTON,28.70,,30.43,50.97,21.43
NOMVULA O'MEARA,24.86,34.76,,9.64,35.71
VALLIE BROWN,46.13,43.14,28.16,,14.29
writeIns,0.31,0.12,0.13,0.25,
