,AMANDA INOCENCIO,ANDREW N. MAJALYA,CONNIE CHAN,DAVID E. LEE,MARJAN PHILHOUR,SHERMAN R. D'SILVA,VERONICA SHINZATO,writeIns
first_choice,552.00,242.00,10651.00,4996.00,9954.00,1230.00,1033.00,44.00
AMANDA INOCENCIO,,15.00,592.00,441.00,322.00,93.00,73.00,0.00
ANDREW N. MAJALYA,28.00,,81.00,141.00,197.00,112.00,78.00,0.00
CONNIE CHAN,146.00,16.00,,1524.00,2616.00,112.00,178.00,4.00
DAVID E. LEE,127.00,27.00,2957.00,,2551.00,161.00,166.00,12.00
MARJAN PHILHOUR,89.00,46.00,2891.00,1717.00,,348.00,301.00,13.00
SHERMAN R. D'SILVA,54.00,51.00,222.00,176.00,586.00,,113.00,2.00
VERONICA SHINZATO,71.00,60.00,694.00,363.00,1481.00,202.00,,3.00
writeIns,1.00,0.00,5.00,8.00,14.00,0.00,0.00,
exhaust,36.00,27.00,3209.00,626.00,2187.00,202.00,124.00,10.00
