condorcet winner: Joseph R. Biden,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
Amy Klobuchar,,39.30,8.82,96.88,13.83,1.54,35.77,40.69,81.24,37.63,47.30
Andrew Yang,60.70,,7.67,98.22,18.92,6.65,46.95,53.30,87.47,47.29,58.47
Bernie Sanders,91.18,92.33,,99.72,75.94,33.61,86.18,89.77,98.33,91.24,95.00
Deval Patrick,3.12,1.78,0.28,,0.50,0.18,1.97,2.40,12.67,1.89,2.81
Elizabeth Warren,86.17,81.08,24.06,99.50,,16.61,75.65,81.31,96.38,76.20,84.39
Joseph R. Biden,98.46,93.35,66.39,99.82,83.39,,96.33,96.87,99.21,92.63,96.17
Michael R.,64.23,53.05,13.82,98.03,24.35,3.67,,57.72,89.13,50.16,60.86
Pete Buttigieg,59.31,46.70,10.23,97.60,18.69,3.13,42.28,,85.23,44.57,54.37
Tom Steyer,18.76,12.53,1.67,87.33,3.62,0.79,10.87,14.77,,12.40,17.57
Tulsi Gabbard,62.37,52.71,8.76,98.11,23.80,7.37,49.84,55.43,87.60,,61.63
Uncommitted,52.70,41.53,5.00,97.19,15.61,3.83,39.14,45.63,82.43,38.37,
