ranks,ballotID,rank1,rank2,rank3
"['NYEISHA DEWITT', 'skipped', 'skipped']",21067,NYEISHA DEWITT,skipped,skipped
"['LYNETTE GIBSON-MCELHANEY', 'SEAN SULLIVAN', 'DERRICK MUHAMMAD']",21068,LYNETTE GIBSON-MCELHANEY,SEAN SULLIVAN,DERRICK MUHAMMAD
"['LYNETTE GIBSON-MCELHANEY', 'LYNETTE GIBSON-MCELHANEY', 'LYNETTE GIBSON-MCELHANEY']",21069,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY']",21070,SEAN SULLIVAN,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'SEAN SULLIVAN', 'SEAN SULLIVAN']",21071,SEAN SULLIVAN,SEAN SULLIVAN,SEAN SULLIVAN
"['LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.', 'DERRICK MUHAMMAD']",21072,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR.",DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'DERRICK MUHAMMAD', 'DERRICK MUHAMMAD']",21073,DERRICK MUHAMMAD,DERRICK MUHAMMAD,DERRICK MUHAMMAD
"['LARRY LIONEL YOUNG, JR.', 'NYEISHA DEWITT', 'DERRICK MUHAMMAD']",21074,"LARRY LIONEL YOUNG, JR.",NYEISHA DEWITT,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'skipped']",21075,DERRICK MUHAMMAD,NYEISHA DEWITT,skipped
"['skipped', 'skipped', 'skipped']",21076,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",21077,skipped,skipped,skipped
"['DERRICK MUHAMMAD', 'DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY']",21078,DERRICK MUHAMMAD,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'DERRICK MUHAMMAD', 'ALEX MILLER-COLE']",21079,SEAN SULLIVAN,DERRICK MUHAMMAD,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'skipped', 'NYEISHA DEWITT']",21080,NYEISHA DEWITT,skipped,NYEISHA DEWITT
"['DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY', 'skipped']",21081,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY,skipped
"['DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE']",21082,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE
"['NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE']",21083,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE
"['DERRICK MUHAMMAD', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",21084,DERRICK MUHAMMAD,NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
