ballotID,rank1,rank2,rank3,rank4,rank5
1,Bob Kiss,Andy Montroll,skipped,skipped,skipped
2,Andy Montroll,skipped,skipped,skipped,skipped
3,Andy Montroll,Bob Kiss,Kurt Wright,skipped,skipped
4,Andy Montroll,Kurt Wright,skipped,skipped,skipped
5,Kurt Wright,skipped,skipped,skipped,skipped
6,Bob Kiss,Andy Montroll,skipped,skipped,skipped
7,Kurt Wright,skipped,skipped,skipped,skipped
8,Bob Kiss,Dan Smith,Andy Montroll,Kurt Wright,James Simpson
9,Bob Kiss,James Simpson,Andy Montroll,skipped,skipped
10,Kurt Wright,skipped,skipped,skipped,skipped
11,Dan Smith,Bob Kiss,skipped,skipped,skipped
12,Kurt Wright,skipped,skipped,skipped,skipped
13,Bob Kiss,Dan Smith,skipped,skipped,skipped
14,writein,Andy Montroll,Bob Kiss,Dan Smith,James Simpson
15,Bob Kiss,Andy Montroll,Dan Smith,Kurt Wright,James Simpson
16,Bob Kiss,Andy Montroll,skipped,skipped,skipped
17,Bob Kiss,Andy Montroll,Kurt Wright,Dan Smith,James Simpson
18,Andy Montroll,Bob Kiss,Kurt Wright,skipped,skipped
19,Dan Smith,Andy Montroll,Kurt Wright,Bob Kiss,skipped
20,Bob Kiss,Andy Montroll,skipped,skipped,skipped
21,Bob Kiss,Andy Montroll,skipped,skipped,skipped
22,Bob Kiss,Andy Montroll,Dan Smith,skipped,skipped
23,Bob Kiss,Andy Montroll,Dan Smith,Kurt Wright,James Simpson
24,Bob Kiss,Kurt Wright,Dan Smith,Andy Montroll,skipped
25,Dan Smith,Bob Kiss,Kurt Wright,Andy Montroll,James Simpson
26,Andy Montroll,Bob Kiss,skipped,skipped,skipped
27,Andy Montroll,Bob Kiss,skipped,skipped,skipped
28,Andy Montroll,Dan Smith,Bob Kiss,Kurt Wright,skipped
29,Dan Smith,Bob Kiss,Andy Montroll,skipped,skipped
30,Andy Montroll,Bob Kiss,skipped,skipped,skipped
31,Andy Montroll,Dan Smith,Bob Kiss,skipped,skipped
32,Dan Smith,Bob Kiss,skipped,skipped,skipped
33,Bob Kiss,Dan Smith,Andy Montroll,Kurt Wright,skipped
34,Andy Montroll,Bob Kiss,Kurt Wright,Dan Smith,skipped
35,Bob Kiss,Andy Montroll,Dan Smith,skipped,skipped
36,Bob Kiss,Andy Montroll,James Simpson,Dan Smith,Kurt Wright
37,Dan Smith,Andy Montroll,Bob Kiss,James Simpson,Kurt Wright
38,Andy Montroll,Dan Smith,Bob Kiss,James Simpson,Kurt Wright
39,Andy Montroll,Kurt Wright,Bob Kiss,Dan Smith,James Simpson
40,Dan Smith,Bob Kiss,Andy Montroll,Kurt Wright,James Simpson
41,Dan Smith,Andy Montroll,Kurt Wright,Bob Kiss,James Simpson
42,Bob Kiss,Andy Montroll,Dan Smith,Kurt Wright,James Simpson
43,Dan Smith,Kurt Wright,Andy Montroll,Bob Kiss,skipped
44,Andy Montroll,Dan Smith,Bob Kiss,skipped,skipped
45,Andy Montroll,Dan Smith,skipped,skipped,skipped
46,Bob Kiss,Andy Montroll,Dan Smith,James Simpson,Kurt Wright
47,Kurt Wright,Dan Smith,Andy Montroll,Bob Kiss,James Simpson
48,Bob Kiss,Andy Montroll,Dan Smith,Kurt Wright,James Simpson
49,Andy Montroll,Bob Kiss,Kurt Wright,James Simpson,Dan Smith
50,Bob Kiss,Andy Montroll,James Simpson,Dan Smith,Kurt Wright
51,Dan Smith,Bob Kiss,Andy Montroll,skipped,skipped
52,Kurt Wright,Dan Smith,skipped,skipped,skipped
53,Dan Smith,Andy Montroll,Kurt Wright,Bob Kiss,James Simpson
54,Bob Kiss,Dan Smith,skipped,skipped,skipped
55,Bob Kiss,Dan Smith,Andy Montroll,skipped,skipped
56,Dan Smith,Andy Montroll,Kurt Wright,Bob Kiss,skipped
57,Bob Kiss,Andy Montroll,James Simpson,skipped,skipped
58,Bob Kiss,Andy Montroll,James Simpson,skipped,skipped
59,Kurt Wright,Andy Montroll,skipped,skipped,skipped
60,Andy Montroll,Dan Smith,Bob Kiss,Kurt Wright,skipped
61,Kurt Wright,Andy Montroll,skipped,skipped,skipped
62,Bob Kiss,Andy Montroll,Kurt Wright,skipped,skipped
63,Kurt Wright,Andy Montroll,skipped,skipped,skipped
64,Andy Montroll,Bob Kiss,Kurt Wright,skipped,skipped
65,Kurt Wright,skipped,skipped,skipped,skipped
66,Andy Montroll,Bob Kiss,Dan Smith,skipped,skipped
67,Bob Kiss,Dan Smith,James Simpson,skipped,skipped
68,Bob Kiss,Andy Montroll,Dan Smith,skipped,skipped
69,Bob Kiss,Dan Smith,Andy Montroll,Kurt Wright,James Simpson
70,Bob Kiss,Dan Smith,James Simpson,Andy Montroll,skipped
71,Andy Montroll,Kurt Wright,Dan Smith,Bob Kiss,James Simpson
72,Andy Montroll,skipped,skipped,skipped,skipped
73,Andy Montroll,Kurt Wright,Bob Kiss,Dan Smith,James Simpson
74,Kurt Wright,Andy Montroll,James Simpson,Dan Smith,Bob Kiss
75,Dan Smith,skipped,skipped,skipped,skipped
76,Bob Kiss,Andy Montroll,skipped,skipped,skipped
77,Andy Montroll,Bob Kiss,Dan Smith,skipped,skipped
78,Bob Kiss,Dan Smith,skipped,skipped,skipped
79,Kurt Wright,skipped,skipped,skipped,skipped
80,Kurt Wright,Dan Smith,skipped,skipped,skipped
81,Andy Montroll,Bob Kiss,skipped,skipped,skipped
82,Bob Kiss,Andy Montroll,James Simpson,Dan Smith,Kurt Wright
83,Bob Kiss,Kurt Wright,Andy Montroll,James Simpson,Dan Smith
84,Bob Kiss,Andy Montroll,James Simpson,Dan Smith,skipped
85,Kurt Wright,Dan Smith,Andy Montroll,skipped,skipped
86,Bob Kiss,Kurt Wright,Dan Smith,skipped,skipped
87,Dan Smith,Andy Montroll,skipped,skipped,skipped
88,Kurt Wright,Andy Montroll,Dan Smith,skipped,skipped
89,Kurt Wright,Andy Montroll,Bob Kiss,Dan Smith,James Simpson
90,Bob Kiss,writein,Andy Montroll,Dan Smith,James Simpson
91,Kurt Wright,Dan Smith,Andy Montroll,Bob Kiss,James Simpson
92,Dan Smith,Bob Kiss,Kurt Wright,Andy Montroll,James Simpson
93,Kurt Wright,Bob Kiss,Andy Montroll,Dan Smith,James Simpson
94,Kurt Wright,Andy Montroll,Dan Smith,Bob Kiss,skipped
95,Andy Montroll,Kurt Wright,Dan Smith,Bob Kiss,James Simpson
