ranks,ballotID,rank1,rank2,rank3
"['Nate Downey', 'skipped', 'skipped']",1,Nate Downey,skipped,skipped
"['Joe H. Arellano', 'skipped', 'skipped']",2,Joe H. Arellano,skipped,skipped
"['Joe H. Arellano', 'Carol Romero-Wirth', 'skipped']",3,Joe H. Arellano,Carol Romero-Wirth,skipped
"['skipped', 'skipped', 'skipped']",4,skipped,skipped,skipped
"['Nate Downey', 'Carol Romero-Wirth', 'Joe H. Arellano']",5,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
"['Nate Downey', 'Carol Romero-Wirth', 'Joe H. Arellano']",6,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
"['Nate Downey', 'skipped', 'skipped']",7,Nate Downey,skipped,skipped
"['Carol Romero-Wirth', 'Nate Downey', 'skipped']",8,Carol Romero-Wirth,Nate Downey,skipped
"['Nate Downey', 'Carol Romero-Wirth', 'skipped']",9,Nate Downey,Carol Romero-Wirth,skipped
"['Nate Downey', 'skipped', 'skipped']",10,Nate Downey,skipped,skipped
"['Carol Romero-Wirth', 'Nate Downey', 'Joe H. Arellano']",11,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
"['Carol Romero-Wirth', 'Joe H. Arellano', 'skipped']",12,Carol Romero-Wirth,Joe H. Arellano,skipped
"['Carol Romero-Wirth', 'Joe H. Arellano', 'Nate Downey']",13,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
"['Carol Romero-Wirth', 'Joe H. Arellano', 'Nate Downey']",14,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
"['Carol Romero-Wirth', 'Nate Downey', 'Joe H. Arellano']",15,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
"['Joe H. Arellano', 'Carol Romero-Wirth', 'Nate Downey']",16,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
"['Joe H. Arellano', 'Carol Romero-Wirth', 'Nate Downey']",17,Joe H. Arellano,Carol Romero-Wirth,Nate Downey
"['Carol Romero-Wirth', 'Nate Downey', 'Joe H. Arellano']",18,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
"['Carol Romero-Wirth', 'Nate Downey', 'skipped']",19,Carol Romero-Wirth,Nate Downey,skipped
"['Carol Romero-Wirth', 'Nate Downey', 'Joe H. Arellano']",20,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
"['Carol Romero-Wirth', 'Joe H. Arellano', 'Nate Downey']",21,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
"['skipped', 'skipped', 'skipped']",22,skipped,skipped,skipped
"['Nate Downey', 'Carol Romero-Wirth', 'Joe H. Arellano']",23,Nate Downey,Carol Romero-Wirth,Joe H. Arellano
"['Nate Downey', 'Carol Romero-Wirth', 'skipped']",24,Nate Downey,Carol Romero-Wirth,skipped
"['Nate Downey', 'Joe H. Arellano', 'Carol Romero-Wirth']",25,Nate Downey,Joe H. Arellano,Carol Romero-Wirth
"['Carol Romero-Wirth', 'Nate Downey', 'Joe H. Arellano']",26,Carol Romero-Wirth,Nate Downey,Joe H. Arellano
"['Carol Romero-Wirth', 'Nate Downey', 'skipped']",27,Carol Romero-Wirth,Nate Downey,skipped
