ranks,ballotID,rank1,rank2,rank3
"['JOSEPH TANIOS', 'JOSEPH E. SIMMONS', 'skipped']",1,JOSEPH TANIOS,JOSEPH E. SIMMONS,skipped
"['CHARLIE MICHELSON', 'NAYELI MAXSON', 'JOSEPH TANIOS']",2,CHARLIE MICHELSON,NAYELI MAXSON,JOSEPH TANIOS
"['SHENG THAO', 'PAM HARRIS', 'NAYELI MAXSON']",3,SHENG THAO,PAM HARRIS,NAYELI MAXSON
"['SHENG THAO', 'PAM HARRIS', 'MATT HUMMEL']",4,SHENG THAO,PAM HARRIS,MATT HUMMEL
"['NAYELI MAXSON', 'NAYELI MAXSON', 'NAYELI MAXSON']",5,NAYELI MAXSON,NAYELI MAXSON,NAYELI MAXSON
"['SHENG THAO', 'PAM HARRIS', 'NAYELI MAXSON']",6,SHENG THAO,PAM HARRIS,NAYELI MAXSON
"['CHARLIE MICHELSON', 'PAM HARRIS', 'SHENG THAO']",7,CHARLIE MICHELSON,PAM HARRIS,SHENG THAO
"['SHENG THAO', 'PAM HARRIS', 'skipped']",8,SHENG THAO,PAM HARRIS,skipped
"['PAM HARRIS', 'PAM HARRIS', 'PAM HARRIS']",9,PAM HARRIS,PAM HARRIS,PAM HARRIS
"['CHARLIE MICHELSON', 'skipped', 'skipped']",10,CHARLIE MICHELSON,skipped,skipped
"['MATT HUMMEL', 'MATT HUMMEL', 'MATT HUMMEL']",11,MATT HUMMEL,MATT HUMMEL,MATT HUMMEL
"['CHARLIE MICHELSON', 'JOSEPH TANIOS', 'SHENG THAO']",12,CHARLIE MICHELSON,JOSEPH TANIOS,SHENG THAO
"['SHENG THAO', 'NAYELI MAXSON', 'skipped']",13,SHENG THAO,NAYELI MAXSON,skipped
"['PAM HARRIS', 'SHENG THAO', 'NAYELI MAXSON']",14,PAM HARRIS,SHENG THAO,NAYELI MAXSON
"['PAM HARRIS', 'NAYELI MAXSON', 'SHENG THAO']",15,PAM HARRIS,NAYELI MAXSON,SHENG THAO
"['NAYELI MAXSON', 'MATT HUMMEL', 'PAM HARRIS']",16,NAYELI MAXSON,MATT HUMMEL,PAM HARRIS
"['PAM HARRIS', 'NAYELI MAXSON', 'skipped']",17,PAM HARRIS,NAYELI MAXSON,skipped
"['PAM HARRIS', 'NAYELI MAXSON', 'skipped']",18,PAM HARRIS,NAYELI MAXSON,skipped
"['SHENG THAO', 'PAM HARRIS', 'skipped']",19,SHENG THAO,PAM HARRIS,skipped
"['PAM HARRIS', 'CHARLIE MICHELSON', 'NAYELI MAXSON']",20,PAM HARRIS,CHARLIE MICHELSON,NAYELI MAXSON
"['skipped', 'skipped', 'skipped']",21,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",22,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",23,skipped,skipped,skipped
