ranks,ballotID,rank1,rank2,rank3
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6111,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6112,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'skipped', 'skipped']",6113,"VICTOR AGUILAR, JR.",skipped,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6114,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6115,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6116,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6117,skipped,skipped,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6118,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6119,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'LEE THOMAS']",6120,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.",LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6121,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6122,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['skipped', 'skipped', 'skipped']",6123,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6124,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6125,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6126,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'skipped', 'skipped']",6127,"VICTOR AGUILAR, JR.",skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6128,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['skipped', 'skipped', 'skipped']",6129,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6130,LEE THOMAS,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6131,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6132,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6133,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'skipped']",6134,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.",skipped
"['skipped', 'skipped', 'skipped']",6135,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6136,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6137,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6138,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6139,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6140,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6141,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'LEE THOMAS']",6142,LEE THOMAS,"VICTOR AGUILAR, JR.",LEE THOMAS
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6143,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6144,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['skipped', 'skipped', 'skipped']",6145,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6146,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['LEE THOMAS', 'skipped', 'skipped']",6147,LEE THOMAS,skipped,skipped
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6148,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'LEE THOMAS']",6149,LEE THOMAS,"VICTOR AGUILAR, JR.",LEE THOMAS
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6150,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6151,LEE THOMAS,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6152,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6153,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6154,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6155,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['skipped', 'skipped', 'skipped']",6156,skipped,skipped,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6157,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'LEE THOMAS']",6158,"VICTOR AGUILAR, JR.",LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6159,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6160,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6161,skipped,skipped,skipped
"['VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.', 'VICTOR AGUILAR, JR.']",6162,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR."
"['LEE THOMAS', 'skipped', 'skipped']",6163,LEE THOMAS,skipped,skipped
