ballotID,rank1,rank2,rank3
12394,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12395,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
12396,ROSIE TORRES,HUBER TRENADO,skipped
12397,MIKE HASSID,skipped,skipped
12398,HUBER TRENADO,skipped,skipped
12399,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12400,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
12401,HUBER TRENADO,MIKE HASSID,skipped
12402,skipped,skipped,skipped
12403,skipped,HUBER TRENADO,MIKE HASSID
12404,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12405,ROSIE TORRES,skipped,skipped
12406,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
12407,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12408,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12409,HUBER TRENADO,skipped,skipped
12410,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
12411,ROSIE TORRES,MIKE HUTCHINSON,skipped
12412,MIKE HUTCHINSON,MIKE HASSID,skipped
12413,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12414,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
12415,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12416,MIKE HUTCHINSON,ROSIE TORRES,skipped
12417,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12418,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12419,skipped,skipped,skipped
12420,ROSIE TORRES,HUBER TRENADO,skipped
12421,HUBER TRENADO,skipped,skipped
12422,skipped,MIKE HUTCHINSON,skipped
12423,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
12424,skipped,skipped,skipped
12425,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12426,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12427,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12428,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12429,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12430,skipped,skipped,skipped
12431,HUBER TRENADO,MIKE HASSID,MIKE HUTCHINSON
12432,ROSIE TORRES,skipped,skipped
12433,ROSIE TORRES,MIKE HUTCHINSON,skipped
12434,skipped,skipped,skipped
12435,skipped,skipped,skipped
12436,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12437,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12438,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12439,ROSIE TORRES,MIKE HUTCHINSON,skipped
12440,HUBER TRENADO,skipped,skipped
12441,MIKE HUTCHINSON,ROSIE TORRES,MIKE HASSID
12442,HUBER TRENADO,ROSIE TORRES,skipped
12443,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12444,MIKE HASSID,MIKE HASSID,HUBER TRENADO
12445,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
12446,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12447,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12448,MIKE HUTCHINSON,ROSIE TORRES,skipped
12449,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12450,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12451,MIKE HASSID,MIKE HASSID,MIKE HASSID
12452,ROSIE TORRES,skipped,skipped
12453,HUBER TRENADO,MIKE HASSID,MIKE HUTCHINSON
12454,skipped,skipped,skipped
12455,skipped,skipped,skipped
12456,ROSIE TORRES,MIKE HUTCHINSON,skipped
12457,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12458,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12459,skipped,skipped,skipped
12460,MIKE HASSID,MIKE HASSID,MIKE HASSID
12461,ROSIE TORRES,HUBER TRENADO,skipped
12462,ROSIE TORRES,MIKE HUTCHINSON,MIKE HASSID
12463,HUBER TRENADO,MIKE HASSID,MIKE HUTCHINSON
12464,ROSIE TORRES,MIKE HUTCHINSON,skipped
12465,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12466,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12467,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12468,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12469,skipped,skipped,skipped
12470,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12471,MIKE HASSID,MIKE HUTCHINSON,ROSIE TORRES
12472,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12473,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12474,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12475,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12476,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
12477,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12478,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12479,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES
12480,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12481,HUBER TRENADO,HUBER TRENADO,MIKE HUTCHINSON
12482,MIKE HUTCHINSON,HUBER TRENADO,MIKE HASSID
12483,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12484,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12485,MIKE HASSID,HUBER TRENADO,HUBER TRENADO
12486,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12487,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12488,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12489,skipped,skipped,skipped
12490,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12491,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12492,ROSIE TORRES,skipped,skipped
12493,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12494,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12495,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12496,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12497,HUBER TRENADO,ROSIE TORRES,HUBER TRENADO
12498,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12499,MIKE HUTCHINSON,ROSIE TORRES,skipped
12500,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12501,HUBER TRENADO,skipped,skipped
12502,ROSIE TORRES,MIKE HUTCHINSON,skipped
12503,HUBER TRENADO,ROSIE TORRES,skipped
12504,HUBER TRENADO,skipped,skipped
12505,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12506,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12507,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12508,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
12509,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12510,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12511,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12512,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12513,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12514,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12515,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12516,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12517,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12518,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
12519,ROSIE TORRES,skipped,skipped
12520,ROSIE TORRES,MIKE HUTCHINSON,skipped
12521,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12522,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
12523,HUBER TRENADO,ROSIE TORRES,HUBER TRENADO
12524,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12525,HUBER TRENADO,MIKE HASSID,skipped
12526,skipped,skipped,skipped
12527,ROSIE TORRES,skipped,skipped
12528,MIKE HUTCHINSON,HUBER TRENADO,ROSIE TORRES
12529,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12530,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12531,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12532,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
12533,skipped,skipped,skipped
12534,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
12535,HUBER TRENADO,skipped,skipped
12536,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12537,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
12538,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
12539,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
12540,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES
12541,HUBER TRENADO,HUBER TRENADO,skipped
12542,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12543,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
12544,ROSIE TORRES,MIKE HUTCHINSON,skipped
12545,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12546,HUBER TRENADO,ROSIE TORRES,skipped
12547,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES
12548,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12549,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12550,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES
12551,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12552,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12553,skipped,skipped,ROSIE TORRES
12554,ROSIE TORRES,skipped,skipped
12555,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
12556,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
12557,ROSIE TORRES,MIKE HASSID,skipped
12558,ROSIE TORRES,ROSIE TORRES,skipped
12559,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
12560,MIKE HASSID,skipped,skipped
12561,ROSIE TORRES,MIKE HUTCHINSON,skipped
12562,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12563,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
12564,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12565,ROSIE TORRES,MIKE HUTCHINSON,skipped
12566,HUBER TRENADO,skipped,MIKE HASSID
12567,ROSIE TORRES,HUBER TRENADO,skipped
12568,ROSIE TORRES,ROSIE TORRES,HUBER TRENADO
12569,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
12570,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
12571,MIKE HASSID,MIKE HASSID,MIKE HASSID
12572,skipped,skipped,skipped
12573,MIKE HASSID,ROSIE TORRES,ROSIE TORRES
12574,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12575,HUBER TRENADO,MIKE HUTCHINSON,MIKE HASSID
12576,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
12577,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12578,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
12579,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
