ranks,ballotID,rank1,rank2,rank3
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6413,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6414,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6415,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6416,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['skipped', 'skipped', 'skipped']",6417,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6418,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6419,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6420,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6421,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6422,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6423,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6424,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6425,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6426,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6427,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6428,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6429,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6430,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6431,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6432,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6433,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6434,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6435,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6436,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6437,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6438,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['skipped', 'skipped', 'skipped']",6439,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6440,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6441,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE']",6442,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6443,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE']",6444,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6445,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6446,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6447,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6448,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['RICHARD FUENTES', 'skipped', 'skipped']",6449,RICHARD FUENTES,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6450,RICHARD FUENTES,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6451,RICHARD FUENTES,skipped,skipped
"['skipped', 'skipped', 'skipped']",6452,skipped,skipped,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6453,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'skipped']",6454,JUMOKE HINTON HODGE,RICHARD FUENTES,skipped
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6455,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['BENJAMIN LANG', 'BENJAMIN LANG', 'BENJAMIN LANG']",6456,BENJAMIN LANG,BENJAMIN LANG,BENJAMIN LANG
"['skipped', 'skipped', 'skipped']",6457,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6458,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6459,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6460,JUMOKE HINTON HODGE,skipped,skipped
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6461,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'skipped']",6462,JUMOKE HINTON HODGE,BENJAMIN LANG,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6463,RICHARD FUENTES,skipped,skipped
"['skipped', 'skipped', 'skipped']",6464,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6465,JUMOKE HINTON HODGE,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6466,RICHARD FUENTES,skipped,skipped
"['BENJAMIN LANG', 'BENJAMIN LANG', 'RICHARD FUENTES']",6467,BENJAMIN LANG,BENJAMIN LANG,RICHARD FUENTES
"['skipped', 'skipped', 'skipped']",6468,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6469,skipped,skipped,skipped
"['RICHARD FUENTES', 'RICHARD FUENTES', 'BENJAMIN LANG']",6470,RICHARD FUENTES,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6471,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6472,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6473,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE']",6474,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6475,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6476,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6477,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['skipped', 'skipped', 'skipped']",6478,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6479,skipped,skipped,skipped
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6480,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6481,JUMOKE HINTON HODGE,skipped,skipped
"['skipped', 'skipped', 'skipped']",6482,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6483,skipped,skipped,skipped
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6484,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6485,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'BENJAMIN LANG']",6486,JUMOKE HINTON HODGE,BENJAMIN LANG,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6487,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6488,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['BENJAMIN LANG', 'skipped', 'BENJAMIN LANG']",6489,BENJAMIN LANG,skipped,BENJAMIN LANG
"['BENJAMIN LANG', 'BENJAMIN LANG', 'BENJAMIN LANG']",6490,BENJAMIN LANG,BENJAMIN LANG,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE']",6491,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6492,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['skipped', 'skipped', 'skipped']",6493,skipped,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6494,JUMOKE HINTON HODGE,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6495,JUMOKE HINTON HODGE,skipped,skipped
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'RICHARD FUENTES']",6496,JUMOKE HINTON HODGE,RICHARD FUENTES,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6497,JUMOKE HINTON HODGE,skipped,skipped
"['BENJAMIN LANG', 'skipped', 'skipped']",6498,BENJAMIN LANG,skipped,skipped
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6499,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['skipped', 'skipped', 'skipped']",6500,skipped,skipped,skipped
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6501,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6502,JUMOKE HINTON HODGE,skipped,skipped
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6503,JUMOKE HINTON HODGE,skipped,skipped
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6504,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6505,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6506,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'skipped']",6507,RICHARD FUENTES,JUMOKE HINTON HODGE,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6508,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6509,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6510,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'skipped', 'skipped']",6511,JUMOKE HINTON HODGE,skipped,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'skipped']",6512,RICHARD FUENTES,JUMOKE HINTON HODGE,skipped
"['BENJAMIN LANG', 'skipped', 'skipped']",6513,BENJAMIN LANG,skipped,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6514,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6515,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6516,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6517,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['RICHARD FUENTES', 'skipped', 'skipped']",6518,RICHARD FUENTES,skipped,skipped
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6519,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'skipped']",6520,BENJAMIN LANG,JUMOKE HINTON HODGE,skipped
"['JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE', 'JUMOKE HINTON HODGE']",6521,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'RICHARD FUENTES', 'RICHARD FUENTES']",6522,RICHARD FUENTES,RICHARD FUENTES,RICHARD FUENTES
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6523,RICHARD FUENTES,JUMOKE HINTON HODGE,RICHARD FUENTES
"['BENJAMIN LANG', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6524,BENJAMIN LANG,BENJAMIN LANG,JUMOKE HINTON HODGE
"['skipped', 'skipped', 'skipped']",6525,skipped,skipped,skipped
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6526,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
