ranks,ballotID,rank1,rank2,rank3
"['ERIC MAR', 'ALICIA WANG', 'skipped']",1,ERIC MAR,ALICIA WANG,skipped
"['SUE LEE', 'skipped', 'skipped']",2,SUE LEE,skipped,skipped
"['ALICIA WANG', 'SUE LEE', 'BRIAN J. LARKIN']",3,ALICIA WANG,SUE LEE,BRIAN J. LARKIN
"['ERIC MAR', 'skipped', 'skipped']",4,ERIC MAR,skipped,skipped
"['JASON JUNGREIS', 'SUE LEE', 'skipped']",5,JASON JUNGREIS,SUE LEE,skipped
"['ERIC MAR', 'skipped', 'skipped']",6,ERIC MAR,skipped,skipped
"['ERIC MAR', 'ALICIA WANG', 'FIDEL CHRYS GAKUBA']",7,ERIC MAR,ALICIA WANG,FIDEL CHRYS GAKUBA
"['ALICIA WANG', 'SUE LEE', 'ERIC MAR']",8,ALICIA WANG,SUE LEE,ERIC MAR
"['SUE LEE', 'skipped', 'skipped']",9,SUE LEE,skipped,skipped
"['SUE LEE', 'SUE LEE', 'SUE LEE']",10,SUE LEE,SUE LEE,SUE LEE
"['SUE LEE', 'ERIC MAR', 'ALICIA WANG']",11,SUE LEE,ERIC MAR,ALICIA WANG
"['ERIC MAR', 'skipped', 'skipped']",12,ERIC MAR,skipped,skipped
"['ERIC MAR', 'skipped', 'skipped']",13,ERIC MAR,skipped,skipped
"['ERIC MAR', 'ALICIA WANG', 'NICHOLAS C. BELLONI']",14,ERIC MAR,ALICIA WANG,NICHOLAS C. BELLONI
"['ERIC MAR', 'BRIAN J. LARKIN', 'GEORGE FLAMIK']",15,ERIC MAR,BRIAN J. LARKIN,GEORGE FLAMIK
"['ERIC MAR', 'SUE LEE', 'ALICIA WANG']",16,ERIC MAR,SUE LEE,ALICIA WANG
"['SUE LEE', 'ALICIA WANG', ""SHERMAN R. D''SILVA""]",17,SUE LEE,ALICIA WANG,SHERMAN R. D''SILVA
"['SUE LEE', 'FIDEL CHRYS GAKUBA', 'BRIAN J. LARKIN']",18,SUE LEE,FIDEL CHRYS GAKUBA,BRIAN J. LARKIN
"['SUE LEE', 'ALICIA WANG', 'skipped']",19,SUE LEE,ALICIA WANG,skipped
