ballotID,rank1,rank2,rank3,rank4
1,DEAN PRESTON,skipped,skipped,skipped
2,DEAN PRESTON,skipped,skipped,skipped
3,VALLIE BROWN,RYAN LAM,DEAN PRESTON,NOMVULA O'MEARA
4,DEAN PRESTON,skipped,skipped,skipped
5,VALLIE BROWN,skipped,skipped,skipped
6,DEAN PRESTON,skipped,skipped,skipped
7,VALLIE BROWN,RYAN LAM,skipped,skipped
8,DEAN PRESTON,VALLIE BROWN,skipped,skipped
9,skipped,skipped,skipped,skipped
10,VALLIE BROWN,NOMVULA O'MEARA,RYAN LAM,DEAN PRESTON
11,DEAN PRESTON,skipped,skipped,skipped
12,RYAN LAM,skipped,DEAN PRESTON,skipped
13,VALLIE BROWN,DEAN PRESTON,RYAN LAM,NOMVULA O'MEARA
14,DEAN PRESTON,RYAN LAM,NOMVULA O'MEARA,skipped
15,DEAN PRESTON,RYAN LAM,NOMVULA O'MEARA,VALLIE BROWN
16,VALLIE BROWN,skipped,skipped,skipped
17,VALLIE BROWN,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM
18,DEAN PRESTON,RYAN LAM,VALLIE BROWN,NOMVULA O'MEARA
19,DEAN PRESTON,VALLIE BROWN,skipped,skipped
20,DEAN PRESTON,skipped,skipped,skipped
21,DEAN PRESTON,skipped,skipped,skipped
22,VALLIE BROWN,skipped,skipped,skipped
23,VALLIE BROWN,skipped,skipped,skipped
24,NOMVULA O'MEARA,RYAN LAM,VALLIE BROWN,DEAN PRESTON
25,DEAN PRESTON,VALLIE BROWN,RYAN LAM,NOMVULA O'MEARA
26,VALLIE BROWN,skipped,skipped,skipped
27,skipped,skipped,skipped,skipped
28,VALLIE BROWN,skipped,skipped,skipped
29,VALLIE BROWN,DEAN PRESTON,skipped,skipped
30,VALLIE BROWN,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM
31,skipped,skipped,skipped,skipped
32,VALLIE BROWN,RYAN LAM,DEAN PRESTON,NOMVULA O'MEARA
33,VALLIE BROWN,skipped,skipped,skipped
34,VALLIE BROWN,skipped,skipped,skipped
35,DEAN PRESTON,skipped,skipped,skipped
36,DEAN PRESTON,VALLIE BROWN,skipped,skipped
37,DEAN PRESTON,RYAN LAM,NOMVULA O'MEARA,skipped
38,VALLIE BROWN,DEAN PRESTON,RYAN LAM,NOMVULA O'MEARA
39,VALLIE BROWN,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM
40,VALLIE BROWN,skipped,skipped,skipped
41,VALLIE BROWN,skipped,skipped,skipped
42,DEAN PRESTON,VALLIE BROWN,skipped,skipped
