ranks,ballotID,rank1,rank2,rank3
"['SOPHIE HAHN', 'skipped', 'skipped']",1,SOPHIE HAHN,skipped,skipped
"['SOPHIE HAHN', 'SOPHIE HAHN', 'SOPHIE HAHN']",2,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN
"['SOPHIE HAHN', 'skipped', 'skipped']",3,SOPHIE HAHN,skipped,skipped
"['SOPHIE HAHN', 'skipped', 'skipped']",4,SOPHIE HAHN,skipped,skipped
"['STEPHEN MURPHY', 'STEPHEN MURPHY', 'STEPHEN MURPHY']",5,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
"['STEPHEN MURPHY', 'STEPHEN MURPHY', 'SOPHIE HAHN']",6,STEPHEN MURPHY,STEPHEN MURPHY,SOPHIE HAHN
"['SOPHIE HAHN', 'STEPHEN MURPHY', 'skipped']",7,SOPHIE HAHN,STEPHEN MURPHY,skipped
"['STEPHEN MURPHY', 'SOPHIE HAHN', 'STEPHEN MURPHY']",8,STEPHEN MURPHY,SOPHIE HAHN,STEPHEN MURPHY
"['SOPHIE HAHN', 'skipped', 'skipped']",9,SOPHIE HAHN,skipped,skipped
"['SOPHIE HAHN', 'STEPHEN MURPHY', 'skipped']",10,SOPHIE HAHN,STEPHEN MURPHY,skipped
"['SOPHIE HAHN', 'STEPHEN MURPHY', 'skipped']",11,SOPHIE HAHN,STEPHEN MURPHY,skipped
"['SOPHIE HAHN', 'STEPHEN MURPHY', 'SOPHIE HAHN']",12,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
"['SOPHIE HAHN', 'skipped', 'skipped']",13,SOPHIE HAHN,skipped,skipped
"['STEPHEN MURPHY', 'SOPHIE HAHN', 'STEPHEN MURPHY']",14,STEPHEN MURPHY,SOPHIE HAHN,STEPHEN MURPHY
"['skipped', 'skipped', 'skipped']",15,skipped,skipped,skipped
"['SOPHIE HAHN', 'skipped', 'skipped']",16,SOPHIE HAHN,skipped,skipped
"['STEPHEN MURPHY', 'skipped', 'skipped']",17,STEPHEN MURPHY,skipped,skipped
"['SOPHIE HAHN', 'STEPHEN MURPHY', 'SOPHIE HAHN']",18,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
"['SOPHIE HAHN', 'skipped', 'skipped']",19,SOPHIE HAHN,skipped,skipped
