ranks,ballotID,rank1,rank2,rank3,rank4
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3798,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",3799,Larry Edwards,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3800,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3801,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'writein']",3802,Sarah A. Lucido,Larry Edwards,Harvey Curley,writein
"['skipped', 'skipped', 'skipped', 'skipped']",3803,skipped,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3804,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'skipped']",3805,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'skipped']",3806,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3807,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3808,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",3809,Larry Edwards,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3810,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3811,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3812,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3813,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3814,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3815,Harvey Curley,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3816,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",3817,Mary Hall-Rayford,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped']",3818,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3819,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",3820,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3821,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",3822,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3823,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3824,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3825,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",3826,skipped,skipped,skipped,skipped
