ranks,ballotID,rank1,rank2,rank3,rank4
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",1,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",2,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",4,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",5,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",6,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'skipped']",7,Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
"['overvote', 'skipped', 'skipped', 'skipped']",8,overvote,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",9,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Mary Hall-Rayford']",10,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",11,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'skipped']",12,Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",13,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",14,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",15,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",16,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['skipped', 'skipped', 'skipped', 'skipped']",17,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'writein']",18,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",19,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",20,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",21,Mary Hall-Rayford,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",22,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",23,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",24,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",25,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",26,Larry Edwards,skipped,skipped,skipped
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",27,Sarah A. Lucido,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",28,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",29,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",30,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",31,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley']",32,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",33,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",34,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",35,Larry Edwards,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",36,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",37,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['skipped', 'skipped', 'skipped', 'skipped']",38,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",39,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",40,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",41,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",42,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",43,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",44,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",45,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",46,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",47,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",48,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",49,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",50,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",51,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",52,Larry Edwards,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",53,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",54,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",55,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",56,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",57,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Larry Edwards', 'Larry Edwards', 'Larry Edwards', 'Larry Edwards']",58,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",59,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",60,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",61,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",62,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'writein']",63,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,writein
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",64,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",65,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",66,Mary Hall-Rayford,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",67,Larry Edwards,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",68,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",69,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",70,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Sarah A. Lucido', 'Sarah A. Lucido']",71,Sarah A. Lucido,Harvey Curley,Sarah A. Lucido,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",72,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",73,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",74,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",75,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",76,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",77,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'skipped']",78,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",79,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",80,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",81,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",82,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Larry Edwards', 'Larry Edwards', 'skipped', 'skipped']",83,Larry Edwards,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",84,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",85,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",86,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",87,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",88,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",89,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",90,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",91,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",92,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped']",93,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'writein']",94,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,writein
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",95,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",96,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",97,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",98,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",99,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",100,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",101,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",102,Sarah A. Lucido,Sarah A. Lucido,Mary Hall-Rayford,Mary Hall-Rayford
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",103,Larry Edwards,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",104,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",105,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'overvote']",106,Harvey Curley,Sarah A. Lucido,Larry Edwards,overvote
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",107,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",108,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",109,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",110,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",111,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",112,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",113,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Sarah A. Lucido', 'skipped', 'skipped']",114,Sarah A. Lucido,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'skipped']",115,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",116,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",117,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",118,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",119,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",120,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Larry Edwards', 'Mary Hall-Rayford', 'skipped', 'skipped']",121,Larry Edwards,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",122,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",123,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",124,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Larry Edwards', 'Harvey Curley', 'skipped', 'skipped']",125,Larry Edwards,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'writein']",126,Mary Hall-Rayford,Larry Edwards,Harvey Curley,writein
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",127,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",128,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",129,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",130,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",131,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['skipped', 'skipped', 'skipped', 'skipped']",132,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",133,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",134,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",135,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",136,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",137,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",138,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",139,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Mary Hall-Rayford', 'skipped', 'skipped']",140,Mary Hall-Rayford,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",141,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'skipped']",142,Larry Edwards,Mary Hall-Rayford,Harvey Curley,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",143,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",144,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",145,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",146,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'writein', 'writein']",147,Sarah A. Lucido,Mary Hall-Rayford,writein,writein
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",148,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",149,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",150,Larry Edwards,skipped,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido']",151,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",152,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",153,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",154,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",155,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",156,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",157,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",158,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido']",159,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
"['Mary Hall-Rayford', 'skipped', 'Mary Hall-Rayford', 'Mary Hall-Rayford']",160,Mary Hall-Rayford,skipped,Mary Hall-Rayford,Mary Hall-Rayford
"['skipped', 'skipped', 'skipped', 'skipped']",161,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",162,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'writein', 'Larry Edwards']",163,Mary Hall-Rayford,Sarah A. Lucido,writein,Larry Edwards
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",164,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",165,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",166,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",167,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",168,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",169,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",170,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",171,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",172,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",173,Larry Edwards,skipped,skipped,skipped
