ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
28,"Cheung, Leland","Maher, David P.","Reeves, Kenneth E.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,overvote,"Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Ward, Larry W.","Cheung, Leland",writein,"Seidel, Sam","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,"Toomey, Jr., Timothy J.","Marquardt, Charles J.","Maher, David P.","Davis, Henrietta","Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,writein,"vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Toomey, Jr., Timothy J.","Maher, David P.","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Nelson, Matthew P.","Toomey, Jr., Timothy J.",writein,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Toomey, Jr., Timothy J.",writein,writein,writein,writein,writein,writein,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Toomey, Jr., Timothy J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Toomey, Jr., Timothy J.","Maher, David P.","Decker, Marjorie C.","Simmons, E. Denise",skipped,"Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"Toomey, Jr., Timothy J.","Williamson, James M.","Ward, Larry W.","Stohlman, Jr., Thomas J.","Pascual, Jamake","Nelson, Matthew P.","Moree, Gregg J.","Marquardt, Charles J.","Mello, Gary W.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Toomey, Jr., Timothy J.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Marquardt, Charles J.","Toomey, Jr., Timothy J.","Williamson, James M.","Pascual, Jamake","Decker, Marjorie C.","Davis, Henrietta","Ward, Larry W.","vanBeuzekom, Minka Y.","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Kelley, Craig A.","Maher, David P.","Stohlman, Jr., Thomas J.",skipped
49,"Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Toomey, Jr., Timothy J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Kelley, Craig A.","Pascual, Jamake","Williamson, James M.","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Moree, Gregg J.","Marquardt, Charles J.","Nelson, Matthew P.","Mello, Gary W.","Ward, Larry W.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,"Marquardt, Charles J.",overvote,"Kelley, Craig A.","Maher, David P.","Mello, Gary W.","Moree, Gregg J.","Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.",skipped,"Cheung, Leland","Simmons, E. Denise","Toomey, Jr., Timothy J."
53,"Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,overvote,"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,"Toomey, Jr., Timothy J.","Maher, David P.","Decker, Marjorie C.","Davis, Henrietta","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Toomey, Jr., Timothy J.","Ward, Larry W.","Reeves, Kenneth E.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Toomey, Jr., Timothy J.","Marquardt, Charles J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Maher, David P.",skipped,"Mello, Gary W.",skipped,"Reeves, Kenneth E.","Pascual, Jamake",skipped,skipped,skipped,skipped,"Simmons, E. Denise","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.","Ward, Larry W.",overvote,"Williamson, James M.","Cheung, Leland","Davis, Henrietta"
61,"Stohlman, Jr., Thomas J.","Moree, Gregg J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Simmons, E. Denise","Toomey, Jr., Timothy J."
62,"Maher, David P.","Cheung, Leland","Decker, Marjorie C.","Simmons, E. Denise",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,"Toomey, Jr., Timothy J.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,"Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Simmons, E. Denise","Maher, David P.","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,"Cheung, Leland","Kelley, Craig A.","Reeves, Kenneth E.","Nelson, Matthew P.","Seidel, Sam","Maher, David P.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,"Toomey, Jr., Timothy J.","Maher, David P.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,"Seidel, Sam","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,"Decker, Marjorie C.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Maher, David P.","Reeves, Kenneth E.","Davis, Henrietta","Kelley, Craig A.",overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,"Toomey, Jr., Timothy J.","Maher, David P.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Toomey, Jr., Timothy J.","Maher, David P.","Ward, Larry W.","Nelson, Matthew P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Davis, Henrietta","Cheung, Leland","Decker, Marjorie C.","Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Seidel, Sam","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Nelson, Matthew P.","Pascual, Jamake","Moree, Gregg J.","Williamson, James M.","vanBeuzekom, Minka Y.","Ward, Larry W.",writein,"Stohlman, Jr., Thomas J."
71,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
