ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['C04', 'C02', 'C03', 'skipped', 'skipped']",68,C04,C02,C03,skipped,skipped
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",69,C03,C02,skipped,skipped,skipped
"['C04', 'C03', 'C05', 'C02', 'C01']",70,C04,C03,C05,C02,C01
"['C03', 'C04', 'C01', 'skipped', 'skipped']",71,C03,C04,C01,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",72,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",73,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C01', 'skipped', 'skipped']",74,C03,C04,C01,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",75,C04,C03,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",76,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",77,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",78,C03,C04,skipped,skipped,skipped
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",79,C03,C02,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",80,C03,C04,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",81,C03,skipped,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",82,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",83,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",84,C03,C04,skipped,skipped,skipped
"['C02', 'C03', 'C06', 'C05', 'C01']",85,C02,C03,C06,C05,C01
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",86,C03,C02,skipped,skipped,skipped
"['C02', 'C04', 'skipped', 'skipped', 'skipped']",87,C02,C04,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",88,C03,C04,skipped,skipped,skipped
"['C02', 'C03', 'C04', 'skipped', 'skipped']",89,C02,C03,C04,skipped,skipped
"['C03', 'C02', 'C01', 'C05', 'C04']",90,C03,C02,C01,C05,C04
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",91,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",92,C03,C04,C02,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",93,C04,C03,skipped,skipped,skipped
"['C02', 'C04', 'C05', 'C01', 'C03']",94,C02,C04,C05,C01,C03
"['C03', 'C04', 'C06', 'C02', 'C01']",95,C03,C04,C06,C02,C01
"['C04', 'C03', 'C01', 'C05', 'C02']",96,C04,C03,C01,C05,C02
"['C03', 'C01', 'C02', 'C05', 'skipped']",97,C03,C01,C02,C05,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",98,C04,C03,skipped,skipped,skipped
"['C02', 'C04', 'skipped', 'skipped', 'skipped']",99,C02,C04,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",100,C03,skipped,skipped,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",101,C04,C02,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",102,C02,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",103,C04,skipped,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",104,C03,skipped,skipped,skipped,skipped
"['C02', 'C03', 'C04', 'C01', 'C05']",105,C02,C03,C04,C01,C05
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",106,C03,C04,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",107,C04,C03,skipped,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",108,C04,C02,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",109,C02,skipped,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",110,C03,C04,C02,skipped,skipped
"['C03', 'C04', 'C02', 'C05', 'skipped']",111,C03,C04,C02,C05,skipped
"['C04', 'C01', 'skipped', 'skipped', 'skipped']",112,C04,C01,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",113,C04,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",114,C04,skipped,skipped,skipped,skipped
"['C02', 'C04', 'skipped', 'skipped', 'skipped']",115,C02,C04,skipped,skipped,skipped
"['C02', 'C03', 'C01', 'C05', 'C04']",116,C02,C03,C01,C05,C04
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",117,C03,C04,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",118,C03,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",119,C03,C04,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",120,C03,skipped,skipped,skipped,skipped
"['C03', 'C05', 'C04', 'skipped', 'skipped']",121,C03,C05,C04,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",122,C04,C03,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",123,C04,skipped,skipped,skipped,skipped
"['C04', 'C02', 'C03', 'skipped', 'skipped']",124,C04,C02,C03,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",125,C02,skipped,skipped,skipped,skipped
"['C04', 'C03', 'C05', 'C02', 'C01']",126,C04,C03,C05,C02,C01
"['C02', 'C04', 'C01', 'C05', 'C03']",127,C02,C04,C01,C05,C03
"['C04', 'C01', 'C05', 'C03', 'skipped']",128,C04,C01,C05,C03,skipped
"['C02', 'C05', 'C01', 'skipped', 'skipped']",129,C02,C05,C01,skipped,skipped
"['C04', 'C03', 'C02', 'C05', 'skipped']",130,C04,C03,C02,C05,skipped
"['C03', 'C05', 'C04', 'C02', 'C01']",131,C03,C05,C04,C02,C01
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",132,C04,C03,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",133,C04,C03,skipped,skipped,skipped
"['C05', 'C03', 'skipped', 'skipped', 'skipped']",134,C05,C03,skipped,skipped,skipped
"['C04', 'C03', 'C01', 'C05', 'C02']",135,C04,C03,C01,C05,C02
"['C02', 'C04', 'C01', 'C05', 'C03']",136,C02,C04,C01,C05,C03
"['C03', 'C04', 'C05', 'C02', 'C01']",137,C03,C04,C05,C02,C01
